,snippet.topLevelComment.snippet.textDisplay,snippet.topLevelComment.snippet.publishedAt,sentiment
65,"['thank', 'time', 'stand', 'sushant', 'bully']",2020-06-16T18:07:51Z,0.0
34,"['boycott', 'starkids', 'today', 'onwards', 'say', 'society', 'achieve', 'something', 'debate', 'remember', 'day']",2020-06-16T19:06:23Z,0.0
72,"['everyone', 'know', 'salman', 'khan', 'underworld', 'connection']",2020-06-16T20:54:19Z,0.0
62,"['someone', 'care', 'spend', 'moment', 'think', 'soldier', 'border', 'put', 'life', 'line', 'protect', 'u']",2020-06-17T00:21:58Z,0.0
7,"['sister', 'first', 'tell', 'die', 'didnt', 'leave', 'suicide', 'note', 'know', 'get', 'murder', 'see', 'interview', 'hear', 'dream', 'think', 'suspicion', 'confirm', 'also', 'doesnt', 'look', 'like', 'hang', 'look', 'like', 'someone', 'strangle', 'line', 'neck', 'middle', 'near', 'jaw', 'would', 'hang', 'ceiling', 'look', 'matter', 'properly']",2020-06-17T04:34:39Z,0.0875
19,"['hypocrite', 'horrible', 'shameful', 'disgraceful', 'people', 'put', 'situation']",2020-06-17T06:22:52Z,-1.0
93,"['rest', 'peacesushantu', 'always', 'shin', 'star']",2020-06-17T08:22:32Z,0.0
87,"['miss', 'sushant', 'singh', 'rajput', 'much', 'brilliant', 'person']",2020-06-17T08:31:00Z,0.9
49,"['young', 'talented', 'n', 'outstanding', 'scare', 'middle', 'class', 'boy', 'would', 'go', 'beyond', 'thats', 'finish']",2020-06-17T09:11:04Z,0.32499999999999996
33,"['sushant', 'huge', 'threat', 'actor', 'make', 'feel', 'leave', 'make', 'win', 'sushanthwhy', 'want', 'disappear', 'leave', 'u']",2020-06-17T10:23:45Z,0.6000000000000001
70,"['komal', 'nahta', 'nepotism', 'child']",2020-06-17T10:39:58Z,0.0
48,"['think', 'succeed', 'kill', 'wait', 'turn', 'every', 'one', 'go', 'one', 'way']",2020-06-17T11:15:35Z,0.0
10,"['yes', 'threat', 'really', 'talented', 'genuine', 'actor', 'mesmerize', 'smile']",2020-06-17T13:07:23Z,0.46666666666666673
38,"['hat', 'brilliant', 'comment', 'cry', 'hear', 'support', 'sushant']",2020-06-17T15:51:58Z,0.9
11,"['remember', 'interview', 'sushant', 'say', 'feel', 'awkward', 'dont', 'get', 'award', 'm', 'dhoni', 'sad', 'talent', 'leave']",2020-06-17T16:10:00Z,-0.55
64,"['boycott', 'bollywood', 'movie', 'totally', 'move', 'towards', 'south', 'indian', 'movie']",2020-06-17T19:38:04Z,0.0
16,"['much', 'talented', 'clever', 'bollywood', 'actor', 'even', 'compare', 'salman', 'sharuk', 'actor', 'raw', 'talent', 'really', 'big', 'loss', 'shame', 'belittle']",2020-06-17T20:05:49Z,0.15897435897435896
44,"['get', 'justice', 'may', 'god', 'bless', 'soul']",2020-06-17T21:17:23Z,0.0
25,"['still', 'mystery', 'girlfriend', 'already', 'many', 'movie', 'hand', 'fantastic', 'talent']",2020-06-17T21:54:54Z,0.45
15,"['never', 'commit', 'suicide', 'he', 'great', 'actor']",2020-06-17T22:30:01Z,0.8
60,"['sad', 'sad', 'story', 'god', 'watch']",2020-06-18T01:29:28Z,-0.5
45,"['let', 'take', 'oath', 'never', 'watch', 'karan', 'johars', 'movie', 'high', 'time', 'come', 'sens', 'appreciate', 'real', 'talent']",2020-06-18T02:30:45Z,0.18
88,"['canada', 'usa', 'country', 'block', 'enter', 'country', 'show']",2020-06-18T03:44:14Z,0.0
35,"['sushant', 'son', 'wouldve', 'advice', 'take', 'scholarship', 'study', 'education', 'one', 'take', 'away', 'get', 'respect', 'othersmy', 'heart', 'go', 'familyfrom', 'usa']",2020-06-18T04:51:43Z,0.0
