,snippet.topLevelComment.snippet.textDisplay,snippet.topLevelComment.snippet.publishedAt,sentiment
40,"['deeply', 'sadden', 'shock', 'news', 'something', 'manager', 'first', 'alot', 'prayer', 'love', 'family', 'pakistan']",2020-06-16T08:57:10Z,0.25
55,"['sushant', 'become', 'dhruv', 'star', 'hard', 'work', 'intelligent', 'philosophical', 'awesome', 'movie', 'performance', 'honest', 'pain', 'behind', 'natural', 'friendly', 'smile', 'show', 'shame', 'hollywood', 'film', 'industry']",2020-06-16T09:35:41Z,0.2759259259259259
34,"['hrt', 'break', 'news', 'extremely', 'talented', 'boy', 'could', 'survive', 'call', 'bolly', 'wood', 'industy']",2020-06-16T09:46:30Z,0.7
91,"['think', 'suicide', 'someone', 'brilliant', 'career', 'always', 'celebrity', 'someone', 'depression', 'go', 'doctor', 'money', 'treat', 'strange', 'police', 'always', 'say', 'suicide', 'thats', 'think', 'time', 'search', 'truth', 'know', 'easy', 'actor', 'someone', 'like', 'make', 'stupid', 'act', 'believe', 'thats', 'also', 'celebrity', 'die', 'condition', 'definitly', 'something', 'else']",2020-06-16T10:40:59Z,0.12083333333333332
13,"['come', 'back', 'soon', 'know', 'vacation']",2020-06-16T12:38:16Z,0.0
52,"['great', 'actor', 'rip', 'ssr']",2020-06-16T14:20:57Z,0.8
110,"['taam', 'khudkashi', 'kerny', 'waly', 'yeh', 'baata', 'ker', 'jaatyn', 'hi', 'dolaat', 'hi', 'cheeze', 'nahi', 'hoti', 'sirf', 'year', 'oooofffffff']",2020-06-16T15:32:52Z,0.0
100,"['believe', 'sushant', 'singh', 'dad', 'evry', 'remember', 'miss', 'love']",2020-06-17T06:54:53Z,0.5
132,['fortnite'],2020-06-17T16:46:16Z,0.0
88,"['emotionally', 'torcher', 'murder', 'socied', 'do', 'bollywood']",2020-06-18T11:57:05Z,0.0
72,"['let', 'get', 'ahead']",2020-06-20T18:24:38Z,0.0
67,"['every', 'country', 'know', 'bollywood', 'shock']",2020-06-26T16:39:45Z,0.0
94,"['really', 'think', 'commit', 'suicide']",2020-07-02T00:10:05Z,0.2
69,"['ne', 'mogu', 'da', 'verujem', 'ogromna', 'tuga', 'neka', 'pociva', 'u', 'miru', 'bio', 'je']",2020-07-03T06:36:47Z,0.0
131,['fair'],2020-07-03T09:13:19Z,0.7
37,"['allege', 'suicide', 'investigation', 'still', 'verdict', 'suicide', 'hasnt', 'establish', 'yet']",2020-07-11T07:14:15Z,0.0
122,"['murder', 'bollywood']",2020-07-12T16:25:08Z,0.0
118,"['talk', 'suicide', 'police', 'saw', 'body', 'hang', 'fan', 'proof', 'ok']",2020-07-12T16:28:48Z,0.5
101,"['say', 'body', 'hang', 'fan']",2020-07-12T16:42:27Z,0.0
93,"['first', 'get', 'proof', 'correct', 'talk', 'wasnt', 'happy', 'he', 'friend', 'say', 'happy']",2020-07-12T16:58:52Z,0.6166666666666667
129,"['stupid', 'tv', 'news', 'relaise', 'suicide']",2020-08-17T10:15:07Z,-0.7999999999999999
115,"['sad', 'news']",2021-01-31T16:39:33Z,-0.5
