,snippet.topLevelComment.snippet.textDisplay,snippet.topLevelComment.snippet.publishedAt,sentiment
41,"['apparently', 'fast', 'track', 'court', 'set', 'newsroom', 'medium', 'house', 'india', 'decision', 'also', 'give', 'within', 'hour', 'time']",2020-07-31T18:10:39Z,0.2
35,"['ndtv', 'approach', 'clearly', 'see', 'act']",2020-07-31T18:20:35Z,0.10000000000000002
19,"['dont', 'cry', 'truth', 'prevail', 'cry', 'later']",2020-07-31T18:22:01Z,0.0
83,"['first', 'time', 'watch', 'video', 'get', 'dislike', 'like', 'show', 'much', 'people', 'hate', 'n', 'want', 'see', 'behind', 'bar', 'truth', 'always', 'prevail', 'god', 'watch', 'everything']",2020-07-31T18:44:20Z,-0.1875
94,"['recently', 'watch', 'body', 'language', 'one', 'body', 'react', 'lie', 'blink', 'many', 'time']",2020-07-31T19:10:30Z,0.25
56,"['well', 'everyone', 'know', 'shes', 'actress', 'good', 'act', 'right']",2020-07-31T19:32:57Z,0.4928571428571428
97,"['friend', 'keep', 'patience', 'till', 'truth', 'come', 'follow', 'investigation', 'let', 'u', 'know', 'soon']",2020-07-31T19:57:28Z,0.0
63,"['shameless', 'woman', 'ndtv', 'want', 'promote']",2020-08-01T00:02:17Z,0.0
29,"['killer', 'girl', 'act', 'like', 'adorable', 'girl', 'believe', 'punish', 'one', 'day']",2020-08-01T02:35:01Z,0.5
26,"['feel', 'much', 'imagine', 'plight', 'family', 'talent', 'irreparable', 'loss', 'nobody', 'listen', 'choose', 'fate', 'worry', 'case', 'take', 'twist', 'sushant', 'get', 'justice', 'call', 'big', 'goon', 'involve', 'judicial', 'system', 'hope', 'loophole', 'escape', 'pray', 'sushant']",2020-08-01T02:55:56Z,0.1
99,"['return', 'life', 'last', 'year', 'spoil', 'money', 'every', 'penny', 'family', 'utilize', 'come', 'talk', 'truth']",2020-08-01T03:13:11Z,0.0
51,"['ah', 'lose', 'truth', 'shall', 'prevail']",2020-08-01T03:34:13Z,0.0
73,"['woah', 'kya', 'act', 'hain']",2020-08-01T05:08:29Z,0.0
27,"['ssr', 'youll', 'stay', 'heart', 'forever']",2020-08-01T05:33:10Z,0.0
67,"['dear', 'friend', 'dont', 'emotional']",2020-08-01T06:45:31Z,0.0
69,"['wish', 'sushant', 'would', 'know', 'world', 'love', 'wish', 'back', 'kaash', 'wo', 'sirf', 'act', 'karta', 'hide', 'hota', 'aur', 'abhi', 'wapas', 'aa', 'jaata', 'afsos', 'log', 'zinda', 'ko', 'yaad', 'nahi', 'rakhte', 'give', 'credit', 'kedarnath', 'sara', 'run', 'star', 'kid', 'movie']",2020-08-01T12:28:24Z,0.25
91,"['feel', 'like', 'like', 'raat', 'akeli', 'hai', 'movie', 'nawazuddin', 'siddiqui', 'agr', 'investigator', 'hota', 'toh', 'mje', 'aajate']",2020-08-01T14:07:29Z,0.0
37,"['super', 'oscar', 'win', 'act', 'taie']",2020-08-01T16:56:38Z,0.5666666666666667
44,"['oscar', 'worthy', 'performance']",2020-08-01T17:38:44Z,0.3333333333333333
