Name,Comment,tone
aamir khan,Great job sir,"{'document_tone': {'tones': [{'score': 0.756514, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
Masoud Lone,He is  one n only  of indian journalism,"{'document_tone': {'tones': [{'score': 0.610552, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}}"
navdeep singh,Omg,{'document_tone': {'tones': []}}
Mohammed Abdul Rauf,Bn n n n n ncjkb,"{'document_tone': {'tones': [{'score': 0.687768, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}}"
kousar ali,Jai jawan jai kissan,{'document_tone': {'tones': []}}
mukesh verma,Aap acha kam kar rhay ho,{'document_tone': {'tones': []}}
Hyder Marakkar,The farmers and rural voters of Rajasthan have given clear mandate to BJP and Modi... the results show that people of India are with Narendra Modi and BJP. The government should not bend in front of these anti nationals and NDTV . We the common people of this country are with Modiji... anti nationals and terrorists should never have hand in national policy making...,"{'document_tone': {'tones': [{'score': 0.818552, 'tone_id': 'confident', 'tone_name': 'Confident'}]}, 'sentences_tone': [{'sentence_id': 0, 'text': 'The farmers and rural voters of Rajasthan have given clear mandate to BJP and Modi... the results show that people of India are with Narendra Modi and BJP.', 'tones': []}, {'sentence_id': 1, 'text': 'The government should not bend in front of these anti nationals and NDTV .', 'tones': []}, {'sentence_id': 2, 'text': 'We the common people of this country are with Modiji... anti nationals and terrorists should never have hand in national policy making...', 'tones': []}]}"
Balbir Saini,जो किसान का बीज है वो जल्दी से जल्दी अपने इस्तीफे दे<br>मतलब जो किसान का बेटा है और एम पी और एम एल ए बन कर गए है वो जल्दी से जल्दी अपने इस्तीफे दे,{'document_tone': {'tones': []}}
Balbir Saini,कह देंगे इन के बाप का क्या जाता है,{'document_tone': {'tones': []}}
Balbir Saini,तीनों कानून रद्द करायें गे<br>नहीं तो यहीं पे मर जायेंगे,{'document_tone': {'tones': []}}
amit sharma,Tu to Dallas hai,{'document_tone': {'tones': []}}
siddharth singh,Harami Ravish Kumar Tum pahchan liya Gaya Hai Deshdrohi ulta tang kar marunga,{'document_tone': {'tones': []}}
Bibek Kumar Gupta,Communist china ka paisa khane wala,{'document_tone': {'tones': []}}
sonam kapoor,kisan bill bahana hein...hindu Sikhs ko katwana hein....insallah isi zindabad Pakistan congress,{'document_tone': {'tones': []}}
kamran tahawar,"indian farmers ,including seihk have to  grow that ammmount of props which can make them alive only","{'document_tone': {'tones': [{'score': 0.589055, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.592138, 'tone_id': 'confident', 'tone_name': 'Confident'}]}}"
Piyush Chauhan,Ab aayenge kuch log jo real journalist bolnege Ravish ko woh khus ho jayega,"{'document_tone': {'tones': [{'score': 0.64619, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}}"
Piyush Chauhan,Per bihar me RJD walon ne hangama machaya uska kya ?,{'document_tone': {'tones': []}}
Jay Patel,Ab 1 hi rasta hai pure Bharat desh ko bacha neka jitane bhi bjp ki netaa hai un sare neta ko jad se ukhad feko 2 haatha or 2 pero ka insane hi hena koi bhagwan thodi hai khatam Karo in bjp chor ko janata mai Etana power hai ke 30 min mai pura desh badal sakta hai aakhir in bjp bhikha mango ko janata ne khada kiya hai in choro ki koi oukat nahi hai ye aandolan karne se kuchha nahi hogaa dimag us Karo or nisane pe tir maro baki to tum log bjp ka kuchha nahi ukhad sakte Jay Bharat Jai hind,{'document_tone': {'tones': []}}
AMEER-E-HARAM International Travel and Tours,Free khalistan,{'document_tone': {'tones': []}}
AMEER-E-HARAM International Travel and Tours,Free khalistan,{'document_tone': {'tones': []}}
Shuaib Mohtesham,Jkgkkgtyghhnnnnnnn,{'document_tone': {'tones': []}}
h singh,Real journalism,"{'document_tone': {'tones': [{'score': 0.97759, 'tone_id': 'confident', 'tone_name': 'Confident'}]}}"
h singh,"Real warriors,  respect to all","{'document_tone': {'tones': [{'score': 0.986078, 'tone_id': 'confident', 'tone_name': 'Confident'}]}}"
Mohd Gulbahar,Ravish.ji.selam.hi.aapko,{'document_tone': {'tones': []}}
IRFAN MOHD,Ravish Kumar fan&#39;s hit like...<br>Arnab fans comments,"{'document_tone': {'tones': [{'score': 0.542818, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
SACHIN BOSS BUDINA KALAN,Namaskar tu zihadi Mohammed ka goo,{'document_tone': {'tones': []}}
,,{'document_tone': {'tones': []}}
Aslam Khan,jai jawan jai kisaan,{'document_tone': {'tones': []}}
Sandip Dhule,Ravish Kumar sir is the best,"{'document_tone': {'tones': [{'score': 0.669601, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
Aravali M,"मेरे दादा जी किसान थे, मैं किसान के साथ हूं।।🙏🙏","{'document_tone': {'tones': [{'score': 0.627666, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
Mohd Shabbir,Hum kisano ki wajah se zinda hain,{'document_tone': {'tones': []}}
Mohd Shabbir,"Ravish Kumar is great person alhamdulillah ,,Allah unko lambi Umar de👍","{'document_tone': {'tones': [{'score': 0.77639, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
A K Patel,NEXT 5 YEAR.....<br><br><br>ADANI TAMATOR...RATE 200RS PER KG......ADANI ALLU ...RATE 250 RS PER KG......READY FOR INDIA.....AMBANI APPLE...RS 500 PER KG......APAKA PAISA AAP SE HI.LUNTA JAYGA....MODI MEXT MISSION............,{'document_tone': {'tones': []}}
Samsul H Hussain,Ravish kumar sir  I love you          from karimgang assam,"{'document_tone': {'tones': [{'score': 0.806845, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
Barkat Ali,Great news,"{'document_tone': {'tones': [{'score': 0.778574, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
babu guddu,AIMIM Party &#39;kissan k saath hai<br><br>Kissan k liye LiKE<br>Kisan Ekta zindabad LiKE,"{'document_tone': {'tones': [{'score': 0.5538, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}}"
Harleen Cyngh,ravish kumar on top respect +,"{'document_tone': {'tones': [{'score': 0.560573, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
Pravin Ambhore,LI00,{'document_tone': {'tones': []}}
Irfan Khan,Sonia ghandhi say kahiye k wo b kisan samarthn main manmohan singh ko wapis kr daiy,{'document_tone': {'tones': []}}
Nouman Ahmed,Good farmer love from lahore  dear sikh,"{'document_tone': {'tones': [{'score': 0.78527, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
