,id,message,tone
65,280,Zero sympathy.  He was younge. Problems n depression knocks everyone's door. This is not the way. World has never been a place fr a weak person.,"{'document_tone': {'tones': [{'score': 0.779936, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.596122, 'tone_id': 'analytical', 'tone_name': 'Analytical'}, {'score': 0.770765, 'tone_id': 'confident', 'tone_name': 'Confident'}]}, 'sentences_tone': [{'sentence_id': 0, 'text': 'Zero sympathy.', 'tones': [{'score': 0.690967, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}, {'sentence_id': 1, 'text': 'He was younge.', 'tones': [{'score': 0.880435, 'tone_id': 'joy', 'tone_name': 'Joy'}]}, {'sentence_id': 2, 'text': ""Problems n depression knocks everyone's door."", 'tones': [{'score': 0.796931, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.873624, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}, {'sentence_id': 3, 'text': 'This is not the way.', 'tones': []}, {'sentence_id': 4, 'text': 'World has never been a place fr a weak person.', 'tones': [{'score': 0.502507, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.618451, 'tone_id': 'confident', 'tone_name': 'Confident'}]}]}"
66,281,Very Shocking news.. He can't do such a coward act.. RIP nice soul..,"{'document_tone': {'tones': [{'score': 0.647541, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.966751, 'tone_id': 'confident', 'tone_name': 'Confident'}]}, 'sentences_tone': [{'sentence_id': 0, 'text': 'Very Shocking news..', 'tones': [{'score': 0.989586, 'tone_id': 'confident', 'tone_name': 'Confident'}]}, {'sentence_id': 1, 'text': ""He can't do such a coward act.. RIP nice soul.."", 'tones': [{'score': 0.611037, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}]}"
67,282,Tragic.,{'document_tone': {'tones': []}}
68,283,This is shocking and feels like something is fishy as his manager also committed suicide 4 days ago. Just so sad 😞,"{'document_tone': {'tones': [{'score': 0.929345, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.986227, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}, 'sentences_tone': [{'sentence_id': 0, 'text': 'This is shocking and feels like something is fishy as his manager also committed suicide 4 days ago.', 'tones': [{'score': 0.832421, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.75152, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}, {'sentence_id': 1, 'text': 'Just so sad 😞', 'tones': [{'score': 0.972377, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.994446, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}]}"
69,284,"Why he committed suicide?, coward","{'document_tone': {'tones': [{'score': 0.767061, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.849827, 'tone_id': 'confident', 'tone_name': 'Confident'}]}}"
70,285,Rip,{'document_tone': {'tones': []}}
71,286,Shocking,"{'document_tone': {'tones': [{'score': 0.899344, 'tone_id': 'anger', 'tone_name': 'Anger'}]}}"
72,287,Why?😥,"{'document_tone': {'tones': [{'score': 0.720142, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}}"
73,288,Very shocking..RIP ,"{'document_tone': {'tones': [{'score': 0.583202, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.989586, 'tone_id': 'confident', 'tone_name': 'Confident'}]}}"
74,289,Such a shocking news.RIP,"{'document_tone': {'tones': [{'score': 0.609594, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}}"
75,292,Aishwarya Panchatsaram omgg omggg,{'document_tone': {'tones': []}}
76,293,Very shocking news,"{'document_tone': {'tones': [{'score': 0.989586, 'tone_id': 'confident', 'tone_name': 'Confident'}]}}"
77,294,Must been so hard and difficult for such souls! R.I.P Sushant✨🌈,"{'document_tone': {'tones': [{'score': 0.567834, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.901164, 'tone_id': 'confident', 'tone_name': 'Confident'}]}, 'sentences_tone': [{'sentence_id': 0, 'text': 'Must been so hard and difficult for such souls!', 'tones': [{'score': 0.800438, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.660207, 'tone_id': 'confident', 'tone_name': 'Confident'}]}, {'sentence_id': 1, 'text': 'R.I.P Sushant✨🌈', 'tones': [{'score': 0.858173, 'tone_id': 'joy', 'tone_name': 'Joy'}]}]}"
78,295,RIP Sarfaraz,"{'document_tone': {'tones': [{'score': 0.819904, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}}"
79,296,"OMG, that's a shocking news. He was such a fine actor. RIP Sushant🙏","{'document_tone': {'tones': []}, 'sentences_tone': [{'sentence_id': 0, 'text': ""OMG, that's a shocking news."", 'tones': []}, {'sentence_id': 1, 'text': 'He was such a fine actor.', 'tones': []}, {'sentence_id': 2, 'text': 'RIP Sushant🙏', 'tones': [{'score': 0.583428, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}]}"
80,297,Extremely shocking,"{'document_tone': {'tones': [{'score': 0.97759, 'tone_id': 'confident', 'tone_name': 'Confident'}]}}"
81,298,This year is a cursed one.... just wrap it up God. Such a lose ... suspicious too. Om shanti🙏🏻🙏🏻😔😔,"{'document_tone': {'tones': [{'score': 0.653282, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.966403, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}, 'sentences_tone': [{'sentence_id': 0, 'text': 'This year is a cursed one.... just wrap it up God.', 'tones': [{'score': 0.549645, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.786991, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}, {'sentence_id': 1, 'text': 'Such a lose ... suspicious too.', 'tones': [{'score': 0.538228, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.822231, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}, {'sentence_id': 2, 'text': 'Om shanti🙏🏻🙏🏻😔😔', 'tones': [{'score': 0.502484, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}]}"
82,299,What is the main reason behind this suicide????,"{'document_tone': {'tones': [{'score': 0.506789, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.762356, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}}"
83,300,The untold story😔😔,"{'document_tone': {'tones': [{'score': 0.845258, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}}"
84,301,💔🙏,"{'document_tone': {'tones': [{'score': 0.69578, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}}"
85,302,"Very cowardly act and shocking news after getting famous one do not need to come to this decision. It is an irony that people have started thinking that success is going to be the only yardstick to live on this planet, then we have to think and sympathize with people like Rahul Gandhi how difficult and helpless he would be finding himself out.","{'document_tone': {'tones': [{'score': 0.848028, 'tone_id': 'analytical', 'tone_name': 'Analytical'}, {'score': 0.781906, 'tone_id': 'confident', 'tone_name': 'Confident'}]}, 'sentences_tone': [{'sentence_id': 0, 'text': 'Very cowardly act and shocking news after getting famous one do not need to come to this decision.', 'tones': [{'score': 0.529136, 'tone_id': 'anger', 'tone_name': 'Anger'}, {'score': 0.660207, 'tone_id': 'confident', 'tone_name': 'Confident'}]}, {'sentence_id': 1, 'text': 'It is an irony that people have started thinking that success is going to be the only yardstick to live on this planet, then we have to think and sympathize with people like Rahul Gandhi how difficult and helpless he would be finding himself out.', 'tones': [{'score': 0.731735, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}]}"
86,303,Raji Muthukrishnan  mam it's easy to say this but one is in such a time that it's gets diffucuilt to come out of it . ,"{'document_tone': {'tones': [{'score': 0.523822, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}}"
87,304,Shocking news -- om shanti,{'document_tone': {'tones': []}}
88,305,😥😥,"{'document_tone': {'tones': [{'score': 0.768845, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}}"
89,306,Rip,{'document_tone': {'tones': []}}
90,307,RIP,{'document_tone': {'tones': []}}
91,308,Could this be another suicide due to severe depression exasperated by the lockdown . RIP🤔😢 ,"{'document_tone': {'tones': [{'score': 0.963836, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.89196, 'tone_id': 'analytical', 'tone_name': 'Analytical'}, {'score': 0.959646, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}, 'sentences_tone': [{'sentence_id': 0, 'text': 'Could this be another suicide due to severe depression exasperated by the lockdown .', 'tones': [{'score': 0.907898, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.762356, 'tone_id': 'analytical', 'tone_name': 'Analytical'}, {'score': 0.75152, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}, {'sentence_id': 1, 'text': 'RIP🤔😢', 'tones': [{'score': 0.923452, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}]}"
92,309,I just can't believe,"{'document_tone': {'tones': [{'score': 0.998976, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}}"
93,310,??,{'document_tone': {'tones': []}}
94,311,Have a safe journey to Hell... HIP,{'document_tone': {'tones': []}}
95,312,"So sad, Rest in peace.","{'document_tone': {'tones': [{'score': 0.920932, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}}"
96,313,Chang K Kipging no more income,{'document_tone': {'tones': []}}
97,314,His ex manager suicide is dastak  of his suicide which was not heard by any one,"{'document_tone': {'tones': [{'score': 0.839441, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.615352, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}}"
98,315,Why 😢😢,"{'document_tone': {'tones': [{'score': 0.873109, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}}"
99,316,Rip....Hard to believe,"{'document_tone': {'tones': [{'score': 0.860269, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.984352, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}}"
100,319,"He cud have taken help from the movie association,if any personal,mental or financial problem.suicide is no solution.","{'document_tone': {'tones': [{'score': 0.580679, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.822231, 'tone_id': 'tentative', 'tone_name': 'Tentative'}, {'score': 0.8152, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}}"
101,320,One of my beloved actor why !!!😭😭😭,"{'document_tone': {'tones': [{'score': 0.833906, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}}"
102,321,Siddharth Awaghade yes exactly no income and no film and no money to live in luxury lifestyle..,"{'document_tone': {'tones': [{'score': 0.636225, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
