id,snippet.topLevelComment.snippet.textDisplay,tone
66,Boycott bollywood movies totally and move towards South indian movies.,"{'document_tone': {'tones': [{'score': 0.849827, 'tone_id': 'confident', 'tone_name': 'Confident'}]}}"
67,thank you TIMES NOW standing with Sushant against his bullies ­čÖĆ,"{'document_tone': {'tones': [{'score': 0.524483, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
68,Sushant  was very charming and can go far in his career  a lady's  man.,"{'document_tone': {'tones': [{'score': 0.751512, 'tone_id': 'confident', 'tone_name': 'Confident'}]}}"
69,All of us are responsible for this. We have watched these Khan's and starkids and all this Karan johar bullshit.. we are truly responsible.,"{'document_tone': {'tones': [{'score': 0.638231, 'tone_id': 'anger', 'tone_name': 'Anger'}, {'score': 0.986725, 'tone_id': 'confident', 'tone_name': 'Confident'}]}, 'sentences_tone': [{'sentence_id': 0, 'text': 'All of us are responsible for this.', 'tones': [{'score': 0.92125, 'tone_id': 'confident', 'tone_name': 'Confident'}]}, {'sentence_id': 1, 'text': ""We have watched these Khan's and starkids and all this Karan johar bullshit.. we are truly responsible."", 'tones': [{'score': 0.72905, 'tone_id': 'anger', 'tone_name': 'Anger'}, {'score': 0.886448, 'tone_id': 'confident', 'tone_name': 'Confident'}]}]}"
70,Please guys.. dont let Sushant s life go forgotten. I wish and pray journalists like you will bring some light into this dark human existence ­čÖĆ Like Sekhender said.. we humans are the Virus.,"{'document_tone': {'tones': [{'score': 0.602868, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.928648, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}, 'sentences_tone': [{'sentence_id': 0, 'text': 'Please guys.. dont let Sushant s life go forgotten.', 'tones': [{'score': 0.618779, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}, {'sentence_id': 1, 'text': 'I wish and pray journalists like you will bring some light into this dark human existence \xadčÖĆ Like Sekhender said.. we humans are the Virus.', 'tones': [{'score': 0.551721, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.733853, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}]}"
71,Hello Everyone! My deepest condolences to his family and his friends. But I won't support anybody to committ suicide at any cost. Please educated people don't do like this shit... Bharat Matha Ki Jai... Jai Hind...,"{'document_tone': {'tones': [{'score': 0.548091, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.920133, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}, 'sentences_tone': [{'sentence_id': 0, 'text': 'Hello Everyone!', 'tones': []}, {'sentence_id': 1, 'text': 'My deepest condolences to his family and his friends.', 'tones': [{'score': 0.528779, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}, {'sentence_id': 2, 'text': ""But I won't support anybody to committ suicide at any cost."", 'tones': [{'score': 0.641468, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.909883, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}, {'sentence_id': 3, 'text': ""Please educated people don't do like this shit... Bharat Matha Ki Jai... Jai Hind..."", 'tones': [{'score': 0.504781, 'tone_id': 'anger', 'tone_name': 'Anger'}]}]}"
72,What is Komal Nahta doing there.  He is for the Nepotism children.,"{'document_tone': {'tones': []}, 'sentences_tone': [{'sentence_id': 0, 'text': 'What is Komal Nahta doing there.', 'tones': []}, {'sentence_id': 1, 'text': 'He is for the Nepotism children.', 'tones': []}]}"
73,During awards functions.during talk shows they want to poke fun of actors and actresses. Some times the targeted persons face at the time says it all.,"{'document_tone': {'tones': [{'score': 0.607395, 'tone_id': 'joy', 'tone_name': 'Joy'}]}, 'sentences_tone': [{'sentence_id': 0, 'text': 'During awards functions.during', 'tones': []}, {'sentence_id': 1, 'text': 'talk shows they want to poke fun of actors and actresses.', 'tones': [{'score': 0.661984, 'tone_id': 'joy', 'tone_name': 'Joy'}]}, {'sentence_id': 2, 'text': 'Some times the targeted persons face at the time says it all.', 'tones': []}]}"
74,Everyone knows salman khan has underworld connections,"{'document_tone': {'tones': [{'score': 0.838593, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}}"
75,"Oozing with talents, intelligence, and amazing human being, so handsome. sushant singh rajput was a threat to the bollywood industry. There was totally jealousy, Impurified mids,, selfishness. Love u sushant forever and ever and will always remain in my heart. Rip Iam from sri Lanka.","{'document_tone': {'tones': [{'score': 0.760399, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.967392, 'tone_id': 'confident', 'tone_name': 'Confident'}]}, 'sentences_tone': [{'sentence_id': 0, 'text': 'Oozing with talents, intelligence, and amazing human being, so handsome.', 'tones': [{'score': 0.884534, 'tone_id': 'joy', 'tone_name': 'Joy'}]}, {'sentence_id': 1, 'text': 'sushant singh rajput was a threat to the bollywood industry.', 'tones': [{'score': 0.593753, 'tone_id': 'fear', 'tone_name': 'Fear'}]}, {'sentence_id': 2, 'text': 'There was totally jealousy, Impurified mids,, selfishness.', 'tones': [{'score': 0.541827, 'tone_id': 'anger', 'tone_name': 'Anger'}, {'score': 0.92125, 'tone_id': 'confident', 'tone_name': 'Confident'}]}, {'sentence_id': 3, 'text': 'Love u sushant forever and ever and will always remain in my heart.', 'tones': [{'score': 0.784655, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.958043, 'tone_id': 'confident', 'tone_name': 'Confident'}]}, {'sentence_id': 4, 'text': 'Rip Iam from sri Lanka.', 'tones': [{'score': 0.546805, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}]}"
