,id,snippet.topLevelComment.snippet.textDisplay,tone
51,53,Rhea fired all the staffs working for Sushant and hired new staffs . Sushant was a simple guy .  Rhea used all his money.There is nothing horrible about you Rhea on Public domain.  You are a gold digger and the truth revealed about you. From Japan,"{'document_tone': {'tones': [{'score': 0.880065, 'tone_id': 'confident', 'tone_name': 'Confident'}]}, 'sentences_tone': [{'sentence_id': 0, 'text': 'Rhea fired all the staffs working for Sushant and hired new staffs .', 'tones': [{'score': 0.80026, 'tone_id': 'confident', 'tone_name': 'Confident'}]}, {'sentence_id': 1, 'text': 'Sushant was a simple guy .', 'tones': [{'score': 0.772403, 'tone_id': 'joy', 'tone_name': 'Joy'}]}, {'sentence_id': 2, 'text': 'Rhea used all his money.There is nothing horrible about you Rhea on Public domain.', 'tones': []}, {'sentence_id': 3, 'text': 'You are a gold digger and the truth revealed about you.', 'tones': []}, {'sentence_id': 4, 'text': 'From Japan', 'tones': []}]}"
52,54,Criminal is breaking silence....,"{'document_tone': {'tones': [{'score': 0.570129, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}}"
53,55,"Yes this VISHKANYA should get justice, She should be behind the bars for rest of her life for involvement in murder of SSR...","{'document_tone': {'tones': [{'score': 0.552459, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}}"
54,56,Image makeover,{'document_tone': {'tones': []}}
55,57,Shameless girl Rhea Chakraborty π ,{'document_tone': {'tones': []}}
56,58,She is innocent and will be proved innocent I'll bet everyone who is saying wrong about her π,"{'document_tone': {'tones': [{'score': 0.5538, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}}"
57,59,I think Reya has gone crazy to come out in all white saying crazy things she is a black magic killer,"{'document_tone': {'tones': [{'score': 0.762356, 'tone_id': 'analytical', 'tone_name': 'Analytical'}, {'score': 0.618451, 'tone_id': 'confident', 'tone_name': 'Confident'}]}}"
58,60,Only someone who is guilty runs and hides. White clothes can't hide the dark aura in you.,"{'document_tone': {'tones': [{'score': 0.928648, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}, 'sentences_tone': [{'sentence_id': 0, 'text': 'Only someone who is guilty runs and hides.', 'tones': [{'score': 0.88939, 'tone_id': 'tentative', 'tone_name': 'Tentative'}, {'score': 0.506763, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}, {'sentence_id': 1, 'text': ""White clothes can't hide the dark aura in you."", 'tones': []}]}"
59,61,This bad actress is rotten to the core,"{'document_tone': {'tones': [{'score': 0.555622, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}}"
60,62,"Shut up Shekar Suman..stop blaming Rhea for some one suicide..SSR is not a kid..he must be responsible...there should be nothing like abetment to death..every one are responsible for there own life...even if Rhea was not a good gf, that does not mean SSR had to commit suicide...if she was bad he had other options for life..death is not the solution for anything..stop media trail..let law take its own course!!","{'document_tone': {'tones': [{'score': 0.649575, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}}"
61,63,"We indians are good in being biased and having our own verdict. We with our own conclusion 1st blamed nepotism ,salman, ekta and karan as ""murderer"". Now that SSR father accepts its suicide but due to his girlfriend Rhea. We the same indian shifted our verdict with ease accepting it is suicide not murder (so many youtubers had shamefully done SSR's postmortem with his picture).Now these people blame Rhea and started new verdict. She might be culprit but until proved no one has the right to accuse her . Just because she was his girlfriend ,we can't torture her. Let the law take place. Have faith. We shouldn't have to be reason for another suicide. She is innocent(by law too) until proved culprit.","{'document_tone': {'tones': [{'score': 0.660671, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.630722, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.51087, 'tone_id': 'anger', 'tone_name': 'Anger'}, {'score': 0.635293, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}, 'sentences_tone': [{'sentence_id': 0, 'text': 'We indians are good in being biased and having our own verdict.', 'tones': []}, {'sentence_id': 1, 'text': 'We with our own conclusion 1st blamed nepotism ,salman, ekta and karan as ""murderer"".', 'tones': [{'score': 0.801827, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}, {'sentence_id': 2, 'text': 'Now that SSR father accepts its suicide but due to his girlfriend Rhea.', 'tones': [{'score': 0.882936, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.762356, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}, {'sentence_id': 3, 'text': ""We the same indian shifted our verdict with ease accepting it is suicide not murder (so many youtubers had shamefully done SSR's postmortem with his picture).Now these people blame Rhea and started new verdict."", 'tones': [{'score': 0.527666, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}, {'sentence_id': 4, 'text': 'She might be culprit but until proved no one has the right to accuse her .', 'tones': [{'score': 0.620299, 'tone_id': 'anger', 'tone_name': 'Anger'}, {'score': 0.778622, 'tone_id': 'tentative', 'tone_name': 'Tentative'}, {'score': 0.532616, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}, {'sentence_id': 5, 'text': ""Just because she was his girlfriend ,we can't torture her."", 'tones': [{'score': 0.822231, 'tone_id': 'tentative', 'tone_name': 'Tentative'}, {'score': 0.687768, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}, {'sentence_id': 6, 'text': 'Let the law take place.', 'tones': [{'score': 0.849827, 'tone_id': 'confident', 'tone_name': 'Confident'}]}, {'sentence_id': 7, 'text': 'Have faith.', 'tones': [{'score': 0.880435, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.996934, 'tone_id': 'confident', 'tone_name': 'Confident'}]}, {'sentence_id': 8, 'text': ""We shouldn't have to be reason for another suicide."", 'tones': [{'score': 0.838128, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.833309, 'tone_id': 'confident', 'tone_name': 'Confident'}, {'score': 0.762356, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}, {'sentence_id': 9, 'text': 'She is innocent(by law too) until proved culprit.', 'tones': [{'score': 0.874372, 'tone_id': 'confident', 'tone_name': 'Confident'}, {'score': 0.724236, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}]}"
