id,snippet.topLevelComment.snippet.authorDisplayName,snippet.topLevelComment.snippet.textDisplay,tone
23,nonadmoon,India is a great country - one of the best things about India is only Punjab has farmers and no other state has farmers at all.,"{'document_tone': {'tones': [{'score': 0.809178, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
24,nonadmoon,"Oh the ""Propaganda Check"" and NDTV's hard work to show all things ANTI-BJP.","{'document_tone': {'tones': [{'score': 0.511165, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.775702, 'tone_id': 'confident', 'tone_name': 'Confident'}]}}"
25,Sabi a k,Wow ndtv gone godi,"{'document_tone': {'tones': [{'score': 0.611216, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
26,S J,Wooooow R-NDTV channel support gunda and terrorist à¹�ÂŸÂ˜Â à¹�ÂŸÂ˜Â à¹�ÂŸÂ˜Â à¹�ÂŸÂ˜Â à¹�ÂŸÂ˜Â à¹�ÂŸÂ˜Â ,{'document_tone': {'tones': []}}
27,Amarpal Singh,why Media Doesn't ask the Question to Mr. Prime Minister Narinder Modi . Why this situation is happen Always ask the question to Farmers(Victims),"{'document_tone': {'tones': [{'score': 0.65562, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.91171, 'tone_id': 'confident', 'tone_name': 'Confident'}, {'score': 0.957077, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}, 'sentences_tone': [{'sentence_id': 0, 'text': ""why Media Doesn't ask the Question to Mr. Prime Minister Narinder Modi ."", 'tones': [{'score': 0.842108, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}, {'sentence_id': 1, 'text': 'Why this situation is happen Always ask the question to Farmers(Victims)', 'tones': [{'score': 0.729574, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.80026, 'tone_id': 'confident', 'tone_name': 'Confident'}, {'score': 0.859009, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}]}"
28,The Anonymous,tmsb madharcho kisan nhi..khalistani ataki ho..red fort pr sabit kr dia tm log ne..bharat me ijjat pach nhi rhi hai.pakistan afganistan hi tumara sahi ilaj kr rha,{'document_tone': {'tones': []}}
29,Muhammad Shoaib,NDTV officially became GODI media,{'document_tone': {'tones': []}}
30,KRK Raju,NDTV MUST BE HAPPY.,"{'document_tone': {'tones': [{'score': 0.957253, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.898327, 'tone_id': 'confident', 'tone_name': 'Confident'}]}}"
31,Alex Krish,"If it is in Tamil Nadu, the police would have shot at least 100 terrorists dead.","{'document_tone': {'tones': [{'score': 0.562568, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}}"
32,Teddy Garbutt,"The Justice of The Lord is For Sikh Redemption. No Man Can Stop The Lord From Breaking Down Closed Doors For His Servants To Enter Where He Wills Them To Enter. Many Years ago Sikh Enemies massacred Sikhs, and marched down the streets with there Severed Heads raised up in the air stuck on the tip of their spears. Today, The Lord has Liberated and made Sikhs marched down the streets, This time to show that God has Sprouted Sikhs Back Up Again Victoriously and to Show that He is their Liberator . Whoever Stands Against Sikhs , Stands Against God, and will Taste His Wrought on The Day of The Vengeance of The Lord: The Savior, Emperor of India.","{'document_tone': {'tones': []}, 'sentences_tone': [{'sentence_id': 0, 'text': 'The Justice of The Lord is For Sikh Redemption.', 'tones': []}, {'sentence_id': 1, 'text': 'No Man Can Stop The Lord From Breaking Down Closed Doors For His Servants To Enter Where He Wills Them To Enter.', 'tones': [{'score': 0.511047, 'tone_id': 'anger', 'tone_name': 'Anger'}]}, {'sentence_id': 2, 'text': 'Many Years ago Sikh Enemies massacred Sikhs, and marched down the streets with there Severed Heads raised up in the air stuck on the tip of their spears.', 'tones': [{'score': 0.536671, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}, {'sentence_id': 3, 'text': 'Today, The Lord has Liberated and made Sikhs marched down the streets, This time to show that God has Sprouted Sikhs Back Up Again Victoriously and to Show that He is their Liberator .', 'tones': []}, {'sentence_id': 4, 'text': 'Whoever Stands Against Sikhs , Stands Against God, and will Taste His Wrought on The Day of The Vengeance of The Lord: The Savior, Emperor of India.', 'tones': []}]}"
33,Dy Xgd,BJP hatao DESH bachao,{'document_tone': {'tones': []}}
34,Mohammad Sharif,Your representative with miss akhter is making wrong question with the  partipecent he does not have knowledge of comentry the both of them must replaced right away they are asking who are from where you came and what is your plane what you going to do these are the administrative questions NDTV must have trained reporter,"{'document_tone': {'tones': [{'score': 0.543444, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.725731, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}}"
35,sukumar maji,Check this,"{'document_tone': {'tones': [{'score': 0.982476, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}}"
36,De l'Est,"There were several videos showing police charging peaceful protesters, which even NDTV hasn't broadcasted. Seems fishy .!","{'document_tone': {'tones': [{'score': 0.987926, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}, 'sentences_tone': [{'sentence_id': 0, 'text': ""There were several videos showing police charging peaceful protesters, which even NDTV hasn't broadcasted."", 'tones': [{'score': 0.681699, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}, {'sentence_id': 1, 'text': 'Seems fishy .!', 'tones': [{'score': 0.761342, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.998976, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}]}"
37,bhanoi ji,Lal Qila toh girvi hai,{'document_tone': {'tones': []}}
38,Chanda Devi,Trying very hard to break the protest. God bless the farmers with faith and strength.,"{'document_tone': {'tones': [{'score': 0.656722, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.979426, 'tone_id': 'confident', 'tone_name': 'Confident'}]}, 'sentences_tone': [{'sentence_id': 0, 'text': 'Trying very hard to break the protest.', 'tones': [{'score': 0.574518, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.751512, 'tone_id': 'confident', 'tone_name': 'Confident'}]}, {'sentence_id': 1, 'text': 'God bless the farmers with faith and strength.', 'tones': [{'score': 0.910232, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.898327, 'tone_id': 'confident', 'tone_name': 'Confident'}]}]}"
39,Krishnan Gomathi,Ndtv is anti national. Home ministry will probe such instigation.,"{'document_tone': {'tones': [{'score': 0.567007, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}, 'sentences_tone': [{'sentence_id': 0, 'text': 'Ndtv is anti national.', 'tones': []}, {'sentence_id': 1, 'text': 'Home ministry will probe such instigation.', 'tones': []}]}"
40,Avinash Views,"Ok....reporter sir says, they flew ""sacred"" flags of Sikhs in Red fort!!!!! On Republic fucking day!!!!!.......just want to ask, if RSS or any Hindu outfit did this, and flew their ""sacred"" flag in red fort, how will NDTV ""reporters"" (assholes) report???!!!!!!","{'document_tone': {'tones': [{'score': 0.593781, 'tone_id': 'anger', 'tone_name': 'Anger'}, {'score': 0.577798, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}}"
41,Avinash Views,"NDTV at its best...finding good deeds for ""farmers"" (miscreants)...who put nation on shame....similar to trumpists in America.....","{'document_tone': {'tones': [{'score': 0.505371, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.579367, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}}"
42,Harsha K,Chamcha news,"{'document_tone': {'tones': [{'score': 0.5024, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}}"
43,chadleo85,"Vaa beta sab apna man banaa ke aaye, jo pitayi ki video hai, to Tractor andhadhundhu chalane ki video hai barricade todne ki video sab purani ya nakli hai. Sikho ko hum bahut nek maan kar chalte hai but jis tarah se inhe itna brainwash kar diya hai ki ab ye puri Indian state se violent loha lena chahte hai. Iska support majority janta nahi karegi. Baaaki baat rahi farm law ki vo BJP ki govt chun ke aayi hai 300+ seats se, ab agar unhe law banane ke in logo se (3% of farmers) permission lene ki baat hai phir to ye kaahe ki democracy. Tum ko pasand nahi hai to apne MLA MP elect karwao aur law change karo, but indiaki population 100 crore se upar hai, 1 adha lakh to bande to kisi bhi cheez ke liye ekathe kiye jaa sakte hai. Baaki baat rahi modi ki so is type ki harkaton se agla election bhi pakka hi hai BJP ka. Main to BJP ko pura support bhi nahi karta but is tarah ki nautanki se saaf hai ki vo sahi raah kaam kar raha hai, Inka poora support Canada and UK se aur aa raha hai, unka kya lena dena isse? In farmer reforms ka koi bade corporation se lena dena nahi hai! Jhoot bolna band karo, Aaapki fasal ka sahi (demand/supply based) daam milega, koi jabardasti thodi hai ki Govt kharide?","{'document_tone': {'tones': []}, 'sentences_tone': [{'sentence_id': 0, 'text': 'Vaa beta sab apna man banaa ke aaye, jo pitayi ki video hai, to Tractor andhadhundhu chalane ki video hai barricade todne ki video sab purani ya nakli hai.', 'tones': []}, {'sentence_id': 1, 'text': 'Sikho ko hum bahut nek maan kar chalte hai but jis tarah se inhe itna brainwash kar diya hai ki ab ye puri Indian state se violent loha lena chahte hai.', 'tones': []}, {'sentence_id': 2, 'text': 'Iska support majority janta nahi karegi.', 'tones': []}, {'sentence_id': 3, 'text': 'Baaaki baat rahi farm law ki vo BJP ki govt chun ke aayi hai 300+ seats se, ab agar unhe law banane ke in logo se (3% of farmers) permission lene ki baat hai phir to ye kaahe ki democracy.', 'tones': []}, {'sentence_id': 4, 'text': 'Tum ko pasand nahi hai to apne MLA MP elect karwao aur law change karo, but indiaki population 100 crore se upar hai, 1 adha lakh to bande to kisi bhi cheez ke liye ekathe kiye jaa sakte hai.', 'tones': []}, {'sentence_id': 5, 'text': 'Baaki baat rahi modi ki so is type ki harkaton se agla election bhi pakka hi hai BJP ka.', 'tones': []}, {'sentence_id': 6, 'text': 'Main to BJP ko pura support bhi nahi karta but is tarah ki nautanki se saaf hai ki vo sahi raah kaam kar raha hai, Inka poora support Canada and UK se aur aa raha hai, unka kya lena dena isse?', 'tones': []}, {'sentence_id': 7, 'text': 'In farmer reforms ka koi bade corporation se lena dena nahi hai! Jhoot bolna band karo, Aaapki fasal ka sahi (demand/supply based) daam milega, koi jabardasti thodi hai ki Govt kharide?', 'tones': []}]}"
44,911 Scout.,NDTV done great Job à¹�ÂŸÂ‘Â� à¹�ÂŸÂ‘Â� Non of other channel showed this parade this way,"{'document_tone': {'tones': [{'score': 0.656335, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
45,Zeeshan alam,Karma pays back to police....remember deli riots,"{'document_tone': {'tones': [{'score': 0.762356, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}}"
46,Vaishnavi,N D TV has contracted to promote anti-country forces,"{'document_tone': {'tones': [{'score': 0.769135, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}}"
47,vlog,Reports bhi soch rahe honge ki acha hua BC hodi media me nahi hai à¹�ÂŸÂ˜Â„ à¹�ÂŸà¸„à¸ƒ à¹�ÂŸÂ˜Â‚,{'document_tone': {'tones': []}}
48,Defender of the Underdog,RunDTV continuing propaganda despite being badly exposed of instigating farmers violence,"{'document_tone': {'tones': [{'score': 0.578497, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.653099, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}}"
49,Taniya Rao Kallepalli,4:58 - 6:05,{'document_tone': {'tones': []}}
50,never_ back_down,It's always the govt / police/ administration at fault.... This dalaal channel NDTV has the habit of whitewashing rioters and goons. And pls don't throw the farmer card it's become hilarious now.,"{'document_tone': {'tones': [{'score': 0.636634, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.874814, 'tone_id': 'confident', 'tone_name': 'Confident'}]}, 'sentences_tone': [{'sentence_id': 0, 'text': ""It's always the govt / police/ administration at fault...."", 'tones': [{'score': 0.605214, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.898327, 'tone_id': 'confident', 'tone_name': 'Confident'}]}, {'sentence_id': 1, 'text': 'This dalaal channel NDTV has the habit of whitewashing rioters and goons.', 'tones': []}, {'sentence_id': 2, 'text': ""And pls don't throw the farmer card it's become hilarious now."", 'tones': []}]}"
51,Journey of Migrated Bird,Now raNDTV will convert these violent Khalistan into peaceful protestersà¹�ÂŸÂ˜Â‚à¹�ÂŸÂ˜Â‚ raNDTV,{'document_tone': {'tones': []}}
52,David Krupadanam,Farmers tractor rally had the punch which this government badly needed. There was chaos but no violence,"{'document_tone': {'tones': [{'score': 0.607142, 'tone_id': 'anger', 'tone_name': 'Anger'}]}, 'sentences_tone': [{'sentence_id': 0, 'text': 'Farmers tractor rally had the punch which this government badly needed.', 'tones': [{'score': 0.507183, 'tone_id': 'anger', 'tone_name': 'Anger'}]}, {'sentence_id': 1, 'text': 'There was chaos but no violence', 'tones': []}]}"
53,Sehej Modgill,Modi humein hamara haq nahi dega to hum india ka jhande ki respect nahi karenge,{'document_tone': {'tones': []}}
54,Sehej Modgill,"Imagine if this was done by hindus !! All would cry fascism, communal and all but not all you see cheerfull interviews","{'document_tone': {'tones': [{'score': 0.811268, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.709468, 'tone_id': 'confident', 'tone_name': 'Confident'}, {'score': 0.670204, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}}"
55,Langpho Pansa,Jai kishan jai modi....,{'document_tone': {'tones': []}}
56,Surj sidhu singh,We should embrace each other and love one another? Minorities politicians are damaging our lives? By manipulating twist and torse the truth! Media is the biggest as they promote the ideology of these rich or politicians.,"{'document_tone': {'tones': []}, 'sentences_tone': [{'sentence_id': 0, 'text': 'We should embrace each other and love one another?', 'tones': [{'score': 0.698471, 'tone_id': 'joy', 'tone_name': 'Joy'}]}, {'sentence_id': 1, 'text': 'Minorities politicians are damaging our lives?', 'tones': [{'score': 0.63474, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}, {'sentence_id': 2, 'text': 'By manipulating twist and torse the truth!', 'tones': [{'score': 0.801827, 'tone_id': 'analytical', 'tone_name': 'Analytical'}, {'score': 0.751512, 'tone_id': 'confident', 'tone_name': 'Confident'}]}, {'sentence_id': 3, 'text': 'Media is the biggest as they promote the ideology of these rich or politicians.', 'tones': [{'score': 0.615352, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}]}"
57,Surj sidhu singh,"Anyone knows more den 100 farmers died since this protest, no media reported that or care about their family?? Is properties,  ego, corruption and money outnumbered precious lives??","{'document_tone': {'tones': [{'score': 0.688337, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.596122, 'tone_id': 'analytical', 'tone_name': 'Analytical'}, {'score': 0.971453, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}, 'sentences_tone': [{'sentence_id': 0, 'text': 'Anyone knows more den 100 farmers died since this protest, no media reported that or care about their family??', 'tones': [{'score': 0.870043, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.901841, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}, {'sentence_id': 1, 'text': 'Is properties,  ego, corruption and money outnumbered precious lives??', 'tones': [{'score': 0.536095, 'tone_id': 'anger', 'tone_name': 'Anger'}]}]}"
58,astik bhan,Bhai protest kisaan ka hai yaa sardaaro ka?  Khalsa janda chadaane ka kya mtlb?,{'document_tone': {'tones': []}}
59,Nehal katre,Inka dimag ghutno me ghus chuka ab.....,{'document_tone': {'tones': []}}
60,Surj sidhu singh,Most important no one should come to this point... If one respected the wish of majority farmers??,"{'document_tone': {'tones': [{'score': 0.584684, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.770435, 'tone_id': 'tentative', 'tone_name': 'Tentative'}, {'score': 0.668742, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}, 'sentences_tone': [{'sentence_id': 0, 'text': 'Most important no one should come to this point...', 'tones': [{'score': 0.5538, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}, {'sentence_id': 1, 'text': 'If one respected the wish of majority farmers??', 'tones': [{'score': 0.569868, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.762356, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}]}"
61,Surj sidhu singh,"Don't brain be brain washed by media, we re all one Universal brothers ....not racially divided... There were Hindu, Muslim and Sikh brothers all together à¹‚Â�à¸„","{'document_tone': {'tones': [{'score': 0.962182, 'tone_id': 'confident', 'tone_name': 'Confident'}]}, 'sentences_tone': [{'sentence_id': 0, 'text': ""Don't brain be brain washed by media, we re all one Universal brothers ....not racially divided..."", 'tones': [{'score': 0.704642, 'tone_id': 'confident', 'tone_name': 'Confident'}]}, {'sentence_id': 1, 'text': 'There were Hindu, Muslim and Sikh brothers all together à¹‚Â�à¸„', 'tones': [{'score': 0.80026, 'tone_id': 'confident', 'tone_name': 'Confident'}]}]}"
62,Surj sidhu singh,"The main tiranga was respected and the Kesari flag was below that... Kesari flag us part of the national flags represents Sikh Khalsa not Khalistan... Media are out to make this dirty, no matter how sweet talk before? They show there true colour eventually...","{'document_tone': {'tones': [{'score': 0.638085, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.765814, 'tone_id': 'analytical', 'tone_name': 'Analytical'}, {'score': 0.641705, 'tone_id': 'confident', 'tone_name': 'Confident'}]}, 'sentences_tone': [{'sentence_id': 0, 'text': 'The main tiranga was respected and the Kesari flag was below that... Kesari flag us part of the national flags represents Sikh Khalsa not Khalistan... Media are out to make this dirty, no matter how sweet talk before?', 'tones': [{'score': 0.533907, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.638807, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}, {'sentence_id': 1, 'text': 'They show there true colour eventually...', 'tones': [{'score': 0.53606, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.80026, 'tone_id': 'confident', 'tone_name': 'Confident'}]}]}"
63,Surj sidhu singh,"Why not investigate if the allegation towards  police fired upon farmers? They re saying they openly let them in and the shot upon... After the farmers retaliating? If there's action there's a reaction? Don't forget the past few months was sitting peacefully,  why out of sudden reacted that way.... See the track record and track record of dirty politics... Noone should get hurt ...no matter police or farmers or anyone else...","{'document_tone': {'tones': [{'score': 0.575528, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.589487, 'tone_id': 'analytical', 'tone_name': 'Analytical'}, {'score': 0.871674, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}, 'sentences_tone': [{'sentence_id': 0, 'text': 'Why not investigate if the allegation towards  police fired upon farmers?', 'tones': [{'score': 0.653099, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}, {'sentence_id': 1, 'text': 'They re saying they openly let them in and the shot upon...', 'tones': []}, {'sentence_id': 2, 'text': 'After the farmers retaliating?', 'tones': [{'score': 0.624549, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}, {'sentence_id': 3, 'text': ""If there's action there's a reaction?"", 'tones': [{'score': 0.842108, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}, {'sentence_id': 4, 'text': ""Don't forget the past few months was sitting peacefully,  why out of sudden reacted that way.... See the track record and track record of dirty politics... Noone should get hurt ...no matter police or farmers or anyone else..."", 'tones': [{'score': 0.628439, 'tone_id': 'analytical', 'tone_name': 'Analytical'}, {'score': 0.739732, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}]}"
64,Krishna Mohan Sonowal,Hosting flag other then tricolour flag in Red Fort means that democracy has fallen. Govt has failed. So what should govt do ? Resigned !!,"{'document_tone': {'tones': [{'score': 0.584349, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}, 'sentences_tone': [{'sentence_id': 0, 'text': 'Hosting flag other then tricolour flag in Red Fort means that democracy has fallen.', 'tones': []}, {'sentence_id': 1, 'text': 'Govt has failed.', 'tones': [{'score': 0.863595, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}, {'sentence_id': 2, 'text': 'So what should govt do ?', 'tones': []}, {'sentence_id': 3, 'text': 'Resigned !!', 'tones': [{'score': 0.916667, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}]}"
65,Prashant Kumar,"Government sahi se plan karti , Ek-do IAS , IPS sabse aage hote , pura route dikhane ke liye & unke peechhe Kisano ki tractor rally chalni chahiye thi. Isse route ka confusion nahi hota .","{'document_tone': {'tones': [{'score': 0.798695, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}, 'sentences_tone': [{'sentence_id': 0, 'text': 'Government sahi se plan karti , Ek-do IAS , IPS sabse aage hote , pura route dikhane ke liye & unke peechhe Kisano ki tractor rally chalni chahiye thi.', 'tones': []}, {'sentence_id': 1, 'text': 'Isse route ka confusion nahi hota .', 'tones': [{'score': 0.946222, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}]}"
66,Gurr,They were beating guys who are above 60,{'document_tone': {'tones': []}}
67,Gurr,Watch this this is from 2 months ago and  it was all peaceful then,"{'document_tone': {'tones': [{'score': 0.586529, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.751512, 'tone_id': 'confident', 'tone_name': 'Confident'}]}}"
68,Mera kuch nahin Jata...,"Put this Sreenivasas Jain inside jail, the Sam Channel was making a hue nd cry about the violence in capitol Hill, anyways nobody watches ndtv other than  tukde tukde gang..","{'document_tone': {'tones': [{'score': 0.652016, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}}"
69,Ashim Banerjee,"It was some sort Sarkari Tantra's conspiracy along with active BJP's conspirators what acted/tried to de-rail Kishans peaceful MARCH but failed. Now Kishans must extended their agitation against Draconian Laws. Modi has to withdraw the same, nothing else.","{'document_tone': {'tones': [{'score': 0.804395, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}, 'sentences_tone': [{'sentence_id': 0, 'text': ""It was some sort Sarkari Tantra's conspiracy along with active BJP's conspirators what acted/tried to de-rail Kishans peaceful MARCH but failed."", 'tones': [{'score': 0.636583, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.863333, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}, {'sentence_id': 1, 'text': 'Now Kishans must extended their agitation against Draconian Laws.', 'tones': [{'score': 0.660207, 'tone_id': 'confident', 'tone_name': 'Confident'}]}, {'sentence_id': 2, 'text': 'Modi has to withdraw the same, nothing else.', 'tones': [{'score': 0.660937, 'tone_id': 'analytical', 'tone_name': 'Analytical'}, {'score': 0.866237, 'tone_id': 'confident', 'tone_name': 'Confident'}]}]}"
