Name,Comment,tone
prasoon sachan,"à¤®à¤‚à¤¡à¥€ à¤¦à¤²à¤¾à¤²à¥‹à¤‚, à¤•à¤¾à¤¯à¤° à¤œà¥‡à¤¹à¤¾à¤¦à¤¿à¤¯à¥‹à¤‚ à¤¤à¥�à¤®à¥�à¤¹à¤¾à¤°à¥€ à¤…à¤¸à¤²à¤¿à¤¯à¤¤ à¤­à¤¾à¤°à¤¤ à¤¨à¥‡ à¤¦à¥‡à¤– à¤²à¥€, à¤…à¤¬ à¤¤à¥�à¤®à¥�à¤¹à¤¾à¤°à¥‡ à¤¦à¤¿à¤¨ à¤ªà¥‚à¤°à¥‡ à¤¹à¥�à¤�",{'document_tone': {'tones': []}}
Keng He,Occupy capitol,{'document_tone': {'tones': []}}
dhanrajrcc phadtare,1984 ke yad ya rahi he,{'document_tone': {'tones': []}}
N RAMESH,So called persons of protest. Don&#39;t take law into your hands for forcing your wishes.,"{'document_tone': {'tones': [{'score': 0.859164, 'tone_id': 'confident', 'tone_name': 'Confident'}]}, 'sentences_tone': [{'sentence_id': 0, 'text': 'So called persons of protest.', 'tones': []}, {'sentence_id': 1, 'text': 'Don&#39;t take law into your hands for forcing your wishes.', 'tones': [{'score': 0.596396, 'tone_id': 'fear', 'tone_name': 'Fear'}, {'score': 0.543112, 'tone_id': 'confident', 'tone_name': 'Confident'}]}]}"
Rama Krishna,Shanthi poorvak.....ðŸ™�.... Sawadhan poorvak....ðŸ‘� Jai Kisan....â�¤ï¸� Jai Jawan....ðŸ’• Jai Bharat Matha ki jai....ðŸ™�â�¤ï¸�ðŸ’• Jai Hind ðŸ™‚lo,{'document_tone': {'tones': []}}
Davids baidya,Its soon time to drive over them direct,"{'document_tone': {'tones': [{'score': 0.762356, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}}"
ANKUR SINGLA,"Bc jab delhi govt ne 12 baje ki permission di thi to 9 baje barriers todke kyun nikle?? Bc tamasha bana diya desh ki law and order ka . Talwar, rod guns leke kon protest karta hai?? Bc peaceful protest ke nam pe logo pe tractor chadha rahe ye gaddar","{'document_tone': {'tones': [{'score': 0.59538, 'tone_id': 'confident', 'tone_name': 'Confident'}]}, 'sentences_tone': [{'sentence_id': 0, 'text': 'Bc jab delhi govt ne 12 baje ki permission di thi to 9 baje barriers todke kyun nikle?? Bc tamasha bana diya desh ki law and order ka .', 'tones': []}, {'sentence_id': 1, 'text': 'Talwar, rod guns leke kon protest karta hai?? Bc peaceful protest ke nam pe logo pe tractor chadha rahe ye gaddar', 'tones': []}]}"
Pruthvi,Shame on Punjabi Farmers <br>Pure Desh ka naam kharab kar diyaðŸ˜¡,"{'document_tone': {'tones': [{'score': 0.543112, 'tone_id': 'confident', 'tone_name': 'Confident'}]}}"
g kaur,No one watching you darling so be cool,"{'document_tone': {'tones': [{'score': 0.867335, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
g kaur,Bandar ðŸ�’ channel,{'document_tone': {'tones': []}}
