Name,Comment,tone
LUCKY YT IS LIVE,Mere Khyal se a ab Sarkar ko kisanon ko Ho Goli Marne Ka ka order de dena chahie police Walon Ko Kyunki yah kisanon Ne bahut galat chij kar rahi hai Kyunki dekho app Kisan he vo Baat alag hai but aap Aisa nahin kar sakte yah galat hai😡😡 Vase to mein kisanon ke sath tha but ab Nahin hun aur ab se main kahunga Kisan Union Muradabad😡😡,{'document_tone': {'tones': []}}
Chirag Jain,Jay jawan jai kisan,{'document_tone': {'tones': []}}
JetZ Knight,"Modi = M, Amit = A, Devol = D - MAD Policy Issue","{'document_tone': {'tones': [{'score': 0.612158, 'tone_id': 'anger', 'tone_name': 'Anger'}, {'score': 0.724236, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}}"
Rajesh methil,ndtv always  spreading fake news,"{'document_tone': {'tones': [{'score': 0.629905, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.961633, 'tone_id': 'confident', 'tone_name': 'Confident'}]}}"
Sahil Bansal,Is the riots the solution u expect,{'document_tone': {'tones': []}}
Ashwini Rathod,Jai jawan Jai kisan,{'document_tone': {'tones': []}}
Aashishdeep official,Fake godimedia and modi,"{'document_tone': {'tones': [{'score': 0.547437, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}}"
Ansa,"Ho Sakta hai......yeh kisan ho hi nhi....may be , goons in disguise...... anyone can tie pagadi / phetta.....","{'document_tone': {'tones': [{'score': 0.856622, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}}"
anumoda osho,Hitlership of godi,{'document_tone': {'tones': []}}
Umair Ahmed,Lagta hay india toottney wala hay,{'document_tone': {'tones': []}}
GUARDIAN ANGEL,PEOPLE REVOLUTION ONLY SOLUTION TO MODI BJP  CORRUPTION,"{'document_tone': {'tones': [{'score': 0.888278, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}}"
GUARDIAN ANGEL,"HINDU, SIKH &amp; MUSLIM UNITE TO FIGHT BJP MODI GOVT HAVING KILLED 40+ INDIAN SOLDIERS TO WIN ELECTIONS","{'document_tone': {'tones': [{'score': 0.590263, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}}"
GUARDIAN ANGEL,DISSOLVE GOVERNMENT,{'document_tone': {'tones': []}}
GUARDIAN ANGEL,MODI MUST RESIGN,"{'document_tone': {'tones': [{'score': 0.942582, 'tone_id': 'confident', 'tone_name': 'Confident'}]}}"
GUARDIAN ANGEL,JUSTICE FOR 40+ INDIAN SOLDIERS KILLED BY MODI BJP TO WIN ELECTIONS,"{'document_tone': {'tones': [{'score': 0.543292, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}}"
,,{'document_tone': {'tones': []}}
