Name,Comment,tone
Nizam lootera,koi kya karna hai karlo mera vote tho bjp ko hi jayega,{'document_tone': {'tones': []}}
Pankaj Arora,Rajniti k gaddaar kb GIRAFTAAR?? <br>56&quot; BHASHAN DIN-RAT ne Bihar Election😁✌✌✌✌<br>15 me 9 ministers 🌹pr criminal mukadme🙄☹️🙏🏻🇮🇳<br>Tiranga fehrayenge to😭🙏<br>Sman?,{'document_tone': {'tones': []}}
Pankaj Arora,Rajniti k gaddaar kb GIRAFTAAR?? <br>56&quot; BHASHAN DIN-RAT ne Bihar Election😁✌✌✌✌<br>15 me 9 ministers 🌹pr criminal mukadme🙄☹️🙏🏻🇮🇳<br>Tiranga fehrayenge to😭🙏<br>Sman?,{'document_tone': {'tones': []}}
Mir Arjumand,Jai kisan,{'document_tone': {'tones': []}}
CONSTRUCTION WORLD,I support tractor,{'document_tone': {'tones': []}}
,,{'document_tone': {'tones': []}}
HASNAIN GAMING,Zabardast,{'document_tone': {'tones': []}}
shokkwave,This is no protest is Vandalism.,{'document_tone': {'tones': []}}
anmol gaming,💪🏻💪🏻💪🏻💪🏻,{'document_tone': {'tones': []}}
SAJAWAL HMEED,Pura Hindustan fateh Kali Kisi ne shame shame Modi shame shame,"{'document_tone': {'tones': [{'score': 0.627501, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}}"
sanen Amer,Sowing of grains is about to start...I&#39;m worry if it continues like this.... There will be famine for all including prime minister...,"{'document_tone': {'tones': [{'score': 0.557345, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}, 'sentences_tone': [{'sentence_id': 0, 'text': 'Sowing of grains is about to start...I&#39;m worry if it continues like this....', 'tones': [{'score': 0.654153, 'tone_id': 'fear', 'tone_name': 'Fear'}, {'score': 0.506763, 'tone_id': 'analytical', 'tone_name': 'Analytical'}, {'score': 0.615352, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}, {'sentence_id': 1, 'text': 'There will be famine for all including prime minister...', 'tones': [{'score': 0.874372, 'tone_id': 'confident', 'tone_name': 'Confident'}]}]}"
,,{'document_tone': {'tones': []}}
,,{'document_tone': {'tones': []}}
krishan Lal,"<b>🌴सबकुछ बनाकर परमेश्वर ने इनसान को अपने अकार में बनाया पढो गूगल से पवित्र बाइबल उत्पति </b><b><a href=""https://www.youtube.com/watch?v=aC2brl3qDWw&amp;t=1m26s"">1:26</a></b><b>,27,28 और जानो कि हम सबके शुरूआती मात पिता एक हैं और हम सब किसान हैं, कयोंकि परमेश्वर ने सबकुछ पैदा किया वो भी किसान है, अब कोई दूसरी थ्योरी बताकर हमें जातिवाद में बाँटने ना पाये🙏</b>",{'document_tone': {'tones': []}}
Aditya M,"It&#39;s better to cut budget of punjabis and send it to some developing cities of South india Or other states like Himachal, uttarakhand, ladakh, northeastern states let punjabis go to Canada which they call their second home and live happily with their pro khalistani leaders","{'document_tone': {'tones': [{'score': 0.530658, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}}"
MD Nesarju MD Aslam,Godi midiya kisano ka sath do,{'document_tone': {'tones': []}}
Beautiful World Videos,Kisan Farmers Zindabad.. Modi Third rate Gunda murdabad,"{'document_tone': {'tones': [{'score': 0.632109, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}}"
