Name,Comment,tone
juyel khan,à¦•à§ƒà¦·à¦¿ à¦•à¦°à§à¦® à¦•à¦°à¦¾ à¦•à¦·à§à¦Ÿà¦¶à¦¾à¦¦à§à¦§ à¦¬à§‡à¦ªà¦¾à¦°à¥¤<br>à¦¸à¦°à¦•à¦¾à¦°  à¦—à¦¦à¦¿à¦¤à§‡ à¦¬à¦¸à¦²à§‡à¥¤ à¦•à§ƒà¦·à¦•<br>à¦†à¦° à¦•à§‹à¦¨ à¦¦à¦¾à¦® à¦¨à§‡à¦‡  à¥¤ à¦à¦° à¦¨à¦¾à¦® <br>à¦•à§à¦·à¦®à¦¤à¦¾ à¥¤à¥¤,{'document_tone': {'tones': []}}
Jakhujakhu 123,ðŸ˜¡ðŸ˜žðŸ˜ž,{'document_tone': {'tones': []}}
Shado Dado,Khalistan is the solution.,"{'document_tone': {'tones': [{'score': 0.626453, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.920855, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}}"
SHINDA Shinda virk,Please change your back dp,{'document_tone': {'tones': []}}
Khiyaram Sharma,CHATUKARO KI JAI HO,{'document_tone': {'tones': []}}
SHINDA Shinda virk,Love u ndtv,"{'document_tone': {'tones': [{'score': 0.991375, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
SHINDA Shinda virk,We are comingðŸ˜ ðŸ˜ ðŸ˜ ðŸ˜ ,{'document_tone': {'tones': []}}
SHINDA Shinda virk,Thanks u sir ji,{'document_tone': {'tones': []}}
BANSHEE PAYNE,Lol water guns on Punjabi people...bruh...you cant throw water at mountains to move them...if they have come to delhi..they mean business.,{'document_tone': {'tones': []}}
vikash pandey,à¤­à¤¾à¤œà¤ªà¤¾ à¤¸à¤¤à¥à¤¤à¤¾ à¤•à¥‡ à¤¨à¤¶à¥‡ à¤®à¥‡à¤‚ à¤šà¥‚à¤° à¤¹à¥‹ à¤—à¤ˆ à¤¹à¥ˆ,{'document_tone': {'tones': []}}
Lone parvaz,Love you ravish sir love from Kashmir Srinagar,"{'document_tone': {'tones': [{'score': 0.828736, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
Sk Rafiuddin Sk,Very good sir very good job,"{'document_tone': {'tones': [{'score': 0.852964, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.989586, 'tone_id': 'confident', 'tone_name': 'Confident'}]}}"
Harsh Mishra,supreme court judge NV Ramana ke corruption charge wale case ka kya hua ?.....please raise this news on your channel.,{'document_tone': {'tones': []}}
Kris Ea,"Scrap all laws passed by EVM hack elect BJP, during Covid Lockdown period. Ban EVM machines, BJP step down from power, because BJP was not elected by people, they got elected by themselves by hacking EVM. India wants freedom from RSS-BJP terrorist group.","{'document_tone': {'tones': [{'score': 0.52464, 'tone_id': 'anger', 'tone_name': 'Anger'}, {'score': 0.596122, 'tone_id': 'analytical', 'tone_name': 'Analytical'}, {'score': 0.813615, 'tone_id': 'confident', 'tone_name': 'Confident'}]}, 'sentences_tone': [{'sentence_id': 0, 'text': 'Scrap all laws passed by EVM hack elect BJP, during Covid Lockdown period.', 'tones': [{'score': 0.775702, 'tone_id': 'confident', 'tone_name': 'Confident'}]}, {'sentence_id': 1, 'text': 'Ban EVM machines, BJP step down from power, because BJP was not elected by people, they got elected by themselves by hacking EVM.', 'tones': [{'score': 0.582723, 'tone_id': 'anger', 'tone_name': 'Anger'}, {'score': 0.636458, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}, {'sentence_id': 2, 'text': 'India wants freedom from RSS-BJP terrorist group.', 'tones': []}]}"
Onkardeep Singh,Did we get the freedom or are we still fighting for it?,"{'document_tone': {'tones': [{'score': 0.75152, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}}"
Sf Ali,Ravish kumar <br>PM Material??,{'document_tone': {'tones': []}}
Khalid Mehmood,modi aur shagkibaandmasi ganna hoigaya,{'document_tone': {'tones': []}}
Afsar kazi,Police wale Gunde,{'document_tone': {'tones': []}}
Shahid dar,"Jai jawan Jai kisan slogan died ... Gandhi&#39;s Nehru&#39;s philosophy has been kickedout by this Fascist regime .... Shame on Godi media and Andh bakhts Gobar bakhts . it hurts watching the whole india is becoming kashmir Day by day . <br><br>Kashmir mange azadi is old now ,soon there will be india mange azadi ( Arundhati Roy ).","{'document_tone': {'tones': [{'score': 0.705464, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}, 'sentences_tone': [{'sentence_id': 0, 'text': 'Jai jawan Jai kisan slogan died ... Gandhi&#39;s Nehru&#39;s philosophy has been kickedout by this Fascist regime .... Shame on Godi media and Andh bakhts Gobar bakhts .', 'tones': [{'score': 0.654176, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}, {'sentence_id': 1, 'text': 'it hurts watching the whole india is becoming kashmir Day by day .', 'tones': [{'score': 0.795872, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}, {'sentence_id': 2, 'text': '<br><br>Kashmir mange azadi is old now ,soon there will be india mange azadi ( Arundhati Roy ).', 'tones': []}]}"
murtaza ali,"BJP ko vote dene ka badla    ,",{'document_tone': {'tones': []}}
murtaza ali,Yah hai,{'document_tone': {'tones': []}}
ARY 2 life,Ravish kumar is very honest person <br>And he deserved heartly respect <br>Salute sirðŸ‡®ðŸ‡³,"{'document_tone': {'tones': [{'score': 0.704642, 'tone_id': 'confident', 'tone_name': 'Confident'}]}}"
Rajkumar Maurya,à¤¤à¥‚ à¤¤à¥‹ à¤¦à¥‡à¤¶à¤¦à¥à¤°à¥‹à¤¹ à¤¹à¥€! à¤¯à¥‡ à¤®à¥‡à¤°à¤¾ à¤…à¤­à¤¿à¤µà¥à¤¯à¤•à¥à¤¤à¤¿ à¤•à¥€ à¤†à¤œà¤¼à¤¾à¤¦à¥€ à¤¹à¥ˆ,"{'document_tone': {'tones': []}, 'sentences_tone': [{'sentence_id': 0, 'text': 'à¤¤à¥‚ à¤¤à¥‹ à¤¦à¥‡à¤¶à¤¦à¥\x8dà¤°à¥‹à¤¹ à¤¹à¥€!', 'tones': []}, {'sentence_id': 1, 'text': 'à¤¯à¥‡ à¤®à¥‡à¤°à¤¾ à¤…à¤\xadà¤¿à¤µà¥\x8dà¤¯à¤•à¥\x8dà¤¤à¤¿ à¤•à¥€ à¤†à¤œà¤¼à¤¾à¤¦à¥€ à¤¹à¥ˆ', 'tones': []}]}"
