Name,Comment,Time,Likes,Reply Count,Reply Author,Reply,Published,Updated
,,,,,Harcharan Singh Rai,@STARK TB dhanwaad jekar tuc smjde o.... hmara sath do... national flag sabka hai ... ham  vahi kisan hai jis ke ghar par hr roj ik shaheed jwan national flag mein lipatkar aata hai... hame bhi pta hai k hm apne he dhee puut ko gva kr is desh k rakhsha ho rhi hai... hm kaise apne he flag ko harm krege??? Eh ohna he politicians da kmm hunda jinko sirf itna pta hai k bs 26 jan or 15 aug ko lehrana hai flag...par ham kissan voh hai jiske ghar par har roj 1  lash aati hai flag mein lipatkar...so pls support us..flag lagaya jrur gya hai waha pr but woh khali poll pe lgaya gya hai ... koi bhi tiranga jhanda utar kr nai .os chj ka proof already godi media bhi de skta hai kyu k kisi ke bhi camera mein capture nai hai k tiranga utar kr kesri jhanda lagaya hai... mante hai glti hai ham logo ki bhi kyu ham glt or sahi ko pechane mein chuk kr gye pr woh sbh chuuk bhi hamare bcho se hue hai thodi bhut... agar hmne dange krne waha jana hota to dango mein local people bhi to harm hote local property bhi to hoti... bt woh nai hue ... sirf police ke sath jhadap kyu hue?? Sirf gov property kyu destroy hue?? Kyu k government ke he log the agency ke log the jo yeh sbh krk gye hai property gov ki destroy aur  police se jhadap... ta  k ham kisan  badnam  ho ske..warna agar local people ki property ko ham hath lagate ya unko harm krte to kyu woh bhi to ham par umadte... isliye yeh to subavik hai k ham hinsak nai the... government aur agency ki planning thi yeh sbh... warna koi lal kille ke aas pas bhi ho to use uthakar ander kr dete hai yeh police... so try to understand the situation pls only suuport us by making understand other people...,2021-01-28T17:14:20Z,2021-01-28T17:14:20Z
,,,,,STARK TB,"@Harcharan Singh Rai sahi kaha hai apne... Bhagwan dek raha hai upar se, sab tik ho jayega umid main, I believe ki main hi nhi pura hindustan support krenge kisaan bhaiyo ko..or jarur kisaan ki hi jeet hoga..👍👍",2021-01-28T17:32:36Z,2021-01-28T17:32:36Z
,,,,,Harcharan Singh Rai,@STARK TB  one thing more.. us din itne tractor aye the ki ginti mushkil ho jati sbh ke liye... media ka camera kam pad jate capture krne ke liye.... agar ek channel bhi 1000 tractor ko cover krta to india ke overall media bhi cover krta to woh cover na kr pate... par media hmesha se negative ko dikhata hai.... positive ko kabhi bhi nai....itne shanndar prade ko destroy kr diya reason behind ek single media channel ne bhi jo shanti se tractors par bethe the unko cover nai kiya... sbh ne glt ko dikhaya...jab tak prade shanti se chal rhi thi tab tk to ek bhi channel ne cover nai kiya ..  tab to sbhi channel pm ko jhanda lehrate dikha rhe the... pr jaise he  situation khrb ki gyi tabhi yeh sbh ho gya... ek baat aur jo kisi ne bhi note nai ki... jab tk Pm president delhi mein the tab tk kisi ko entry nai mili..  jaise he woh chle gye uthkar bs ekdum se edr yeh sbh ho gya ..  sbh trap tha gov ka agency ka or gov ke underpressure police ka.... kyu k agar tractor jitne aye the woh sbh delhi mein enter ho kar lal kille mein chle gye hote to ykeen maan na ki fir delhi ki sari  traffic police 10 din bhi congestion conrol krleti inn tractors ki.... so isliye 1000 tractor glt tha jiska proof godi media se le lijiyega k lakho ke tractor kha hai yeh to 1000 mein the only... jo glt the... isliye 1000 ki vajah se lakho ki counting mein sahi aye tractors ko mat glt batao... is aggetation ko support kro...,2021-01-28T17:32:58Z,2021-01-28T17:32:58Z
Abhishek Saha,Hooliganism in name of protest . Shame to these people . Thuu . Feku farmers .,2021-01-26T09:27:54Z,3,5,,,,
,,,,,rink,Feku ka peecha choro lalluo eb to,2021-01-26T10:58:10Z,2021-01-26T10:58:10Z
,,,,,Abhishek Saha,@rink farming on road 😂 .,2021-01-26T11:01:20Z,2021-01-26T11:01:20Z
,,,,,Abhishek Saha,@np pp D I don&#39;t support these hooligans and Khalistani agenda being exposed again . Modi 2024 .,2021-01-26T12:24:29Z,2021-01-26T12:24:29Z
,,,,,Abhishek Saha,@np pp D not a Khalistani supporter like you .,2021-01-26T13:28:21Z,2021-01-26T13:28:21Z
,,,,,Jasdeep Singh,@np pp D 😂 ਵੀਰੇ ਪਿਆਰ ਨਾਲ ਮਾਰ ਇਹਦੀ,2021-01-27T01:48:39Z,2021-01-27T01:48:39Z
Fazal Abdul,How can u call u them a rioters .... they are protestors... don’t give a conclusion without having clear pictire,2021-01-26T09:17:34Z,5,5,,,,
,,,,,Abhishek Saha,😂😂😂😂😂 . Maintain social distance from weed .,2021-01-26T09:28:15Z,2021-01-26T09:28:15Z
,,,,,Akshat Shah,This is not a &quot;peaceful&quot; protest as promised by&quot;farmers&quot;,2021-01-26T10:22:20Z,2021-01-26T10:22:20Z
