,Reply,Published,sentiment
190,"['michael', 'brite', 'provision', 'bail', 'first', 'instance', 'accuse', 'book', 'uapa', 'condition', 'bail', 'depend', 'upon', 'material', 'evidence', 'provide', 'prosecution', 'defense', 'pregnancy', 'condition', 'bail', 'first', 'instance']",2021-07-06T09:51:57Z,-0.5423
191,"['ashish', 'sharma', 'first', 'place', 'r', 'even', 'book', 'uapa', 'kill', 'anyonethey', 'protest', 'right', 'protest']",2021-07-06T09:56:06Z,-0.8271
192,"['michael', 'brite', 'book', 'uapa', 'might', 'evidence', 'upto', 'court', 'grant', 'bail', 'right', 'protest', 'make', 'loophole', 'hide', 'misdeed', 'moreover', 'stan', 'swamy', 'die', 'cardiac']",2021-07-06T10:01:23Z,-0.6249
193,"['yeah', 'like', 'fr', 'stan', 'shame', 'raise', 'voice', 'govt', 'n', 'r', 'jail', 'terrorist', 'law', 'shame']",2021-07-06T10:06:23Z,-0.802
147,"['michael', 'brite', 'stop', 'talk', 'nonsense', 'shameless', 'creature', 'plunder', 'loot', 'people', 'name', 'christ']",2021-07-06T10:12:30Z,-0.743
148,"['cute', 'baccha', 'u', 'saw', 'get', 'lose', 'man']",2021-07-06T10:15:41Z,0.0772
149,"['cute', 'baccha', 'u', 'first', 'stop', 'ur', 'nonsense']",2021-07-06T10:18:57Z,-0.2263
198,"['mohd', 'ghani', 'badwa', 'patriot', 'love', 'india', 'modi', 'government']",2021-07-06T10:19:23Z,0.6369
194,"['michael', 'brite', 'know', 'reality', 'let', 'law', 'take', 'course']",2021-07-06T10:24:30Z,0.0
208,"['another', 'christian', 'love', 'another', 'bigot']",2021-07-06T11:22:00Z,0.6369
209,"['love', 'lol', 'cult', 'kill', 'million', 'name', 'pagansheathens', 'carry', 'inquisition', 'wipe', 'civilization', 'talk', 'love', 'bigot']",2021-07-06T11:22:50Z,0.6486
77,"['bigot', 'timeline', 'come', 'support', 'maoist', 'thug']",2021-07-06T11:23:23Z,0.4019
129,"['lol', 'convert', 'christianity', 'every', 'heathen', 'go', 'hell', 'wonder', 'comment', 'christian', 'support', 'naxalite']",2021-07-06T11:24:12Z,-0.0258
199,"['best', 'hope', 'lol', 'hinduhating', 'monotheistic', 'cult', 'nothing', 'india', 'ramachandran', 'also', 'convert', 'since', 'ashamed', 'naxalite', 'dy', 'natural', 'death', 'sadhu', 'lynch', 'christian', 'convert']",2021-07-06T11:25:28Z,0.6597
115,"['gopal', 'sriniwasan', 'lol', 'another', 'dhimmi', 'naxalite', 'get', 'full', 'support', 'every', 'single', 'christian', 'leave', 'thug']",2021-07-06T11:26:02Z,0.6486
265,"['oh', 'yeh', 'provide', 'bail', 'every', 'naxalite', 'since', 'hindu', 'zimmis', 'demand']",2021-07-06T11:26:45Z,-0.128
162,"['lol', 'convert', 'field', 'day', 'today']",2021-07-06T11:27:02Z,0.4215
127,"['true', 'servant', 'jejus', 'relentlessly', 'work', 'heathen', 'hindu', 'wipe', 'evangelise', 'yeh']",2021-07-06T11:27:43Z,0.4215
74,"['lol', 'justice', 'define', 'naxalites', 'yeh']",2021-07-06T11:28:14Z,0.7351
150,"['michael', 'brite', 'indian', 'channel', 'get', 'lose']",2021-07-06T11:29:06Z,-0.4019
158,"['lol', 'live', 'forever', 'since', 'carry', 'evangelism', 'heathen', 'support', 'naxalites', 'kudos']",2021-07-06T11:30:06Z,0.8316
