,Reply,sentiment
96,"['alvanor', 'elf', 'im', 'christian', 'language', 'medias', 'modern', 'day', 'juda', 'know', 'backstabbing', 'luke', 'abrahamic', 'cult']",0.0
97,"['jai', 'prakash', 'see', 'rich', 'wisdom', 'india', 'realize', 'mischief', 'abrahamic', 'religion', 'r', 'try', 'play', 'bring', 'indian', 'native', 'religion', 'indian', 'wisdom', 'greater', 'anything', 'world']",0.9153
98,"['alvanor', 'elf', 'stop', 'go', 'catholic', 'country', 'missionary', 'rescue', 'rap', 'hindu', 'girl', 'country', 'cant', 'even', 'provide', 'justice', 'shame', 'govt']",-0.5826
99,"['jai', 'prakash', 'soon', 'u', 'lick', 'thing', 'ur', 'suppose']",0.0
100,"['lata', 'raymond', 'see', 'comment', 'many', 'place', 'seem', 'person', 'full', 'hate', 'venom', 'feel', 'sorry', 'christian', 'like', 'world']",-0.3612
101,"['ur', 'bear', 'sinner']",0.0
102,"['jai', 'prakash', 'evil', 'people', 'say', 'screw', 'saas', 'saas', 'bahu', 'serial', 'make', 'hrd', 'minister']",-0.7003
103,"['lata', 'raymond', 'speak', 'like', 'true', 'christian', 'hide', 'mean', 'vulgar', 'mindset', 'hope', 'mr', 'raymond', 'lick', 'like']",0.8402
104,"['lata', 'raymond', 'look', 'who', 'talk', 'follower', 'guy', 'bear', 'wedlock', 'short', 'illegitimate', 'offspring', 'alleluia']",0.0
105,"['sanatani', 'first', 'better', 'fact', 'check', 'innocent', 'even', 'trick', 'brand', 'moaist', 'jump', 'conclusion', 'stand', 'outcast', 'system', 'brand', 'lower', 'bir']",0.4404
106,"['g', 'anne', 'nithiya', 'lol', 'another', 'convert', 'stand', 'father', 'typically', 'monotheistic', 'supremacist', 'behave', 'check', 'fact', 'plenty', 'anybody', 'stand', 'naxalites', 'human', 'right', 'activistthese', 'ifs', 'thug', 'f']",0.5106
