Name,Comment,tone
Madhukar Manohar,"Why you people calling him Swami  as if he was Hindu . His name was Sami .. he was doing the the work of converting  poor Hindu aadivasi in to his religion. He was funded by inter national lobies who work against Hindu religion. But just to  symethise Hindu people, your agenda is to show as if he was Swami and Hindu. If you  have any guts  why don&#39;t you give his real name Sami and telling people he has converted thoda da of Hindu in his religion..","{'document_tone': {'tones': [{'score': 0.624873, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.567218, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}, 'sentences_tone': [{'sentence_id': 0, 'text': 'Why you people calling him Swami  as if he was Hindu .', 'tones': [{'score': 0.550852, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.653099, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}, {'sentence_id': 1, 'text': 'His name was Sami .. he was doing the the work of converting  poor Hindu aadivasi in to his religion.', 'tones': [{'score': 0.670902, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}, {'sentence_id': 2, 'text': 'He was funded by inter national lobies who work against Hindu religion.', 'tones': []}, {'sentence_id': 3, 'text': 'But just to  symethise Hindu people, your agenda is to show as if he was Swami and Hindu.', 'tones': [{'score': 0.5538, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}, {'sentence_id': 4, 'text': 'If you  have any guts  why don&#39;t you give his real name Sami and telling people he has converted thoda da of Hindu in his religion..', 'tones': []}]}"
Oodnari Alina,Pragya thakur can get bail bt sten Swamy could not..so sad ....... democracy is demolished finished and doomed in india since so long...🙏 Atma mar chuki he ham sabki.....,{'document_tone': {'tones': []}}
Bipin Jha,Inko goli marna  chyai <br>Inka bhasan sunogay to aapka khun khol jayai ga <br>Yai  log dalit ko uskata thai <br>Tai log naxalwadi ko badhwa dai raha tha,{'document_tone': {'tones': []}}
Oodnari Alina,Kya kahu .......aaj kal trend he kisi ko b uapa laga k ander krne ka kadi ninda krne ka or jaach krne ka ....bs yahi bacha he ..... corrupt politicians ko b jail me daalne ki takat he kya is democracy me ...sharm aati he khud pe or is desh pe🙏,{'document_tone': {'tones': []}}
Roshni Horo,"Fr s swamy ki hi nahi, hamare nyayik vyavastha kiwi nirman hatya hai 😭","{'document_tone': {'tones': [{'score': 0.773205, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}}"
Etore Costa,Terrorist organisations RSS  se kya ummid kar sakten?.,{'document_tone': {'tones': []}}
Aksa M. Wani,Thanks for mentioning about Bashir Ahmad Baba and Nissar.,"{'document_tone': {'tones': [{'score': 0.5538, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}}"
Jugal Nath,Shame on Modi govt.,"{'document_tone': {'tones': [{'score': 0.775059, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}}"
Luke Jalal,So he deserved state funeral. International community is requested to interfere in the murder conducted by esteemed Government of India.,"{'document_tone': {'tones': [{'score': 0.674757, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}, 'sentences_tone': [{'sentence_id': 0, 'text': 'So he deserved state funeral.', 'tones': [{'score': 0.769, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}, {'sentence_id': 1, 'text': 'International community is requested to interfere in the murder conducted by esteemed Government of India.', 'tones': []}]}"
Artin shar,"Thank you Modiji ,Another head under your crown. 💀 💀 💀🦴🦴 <br>More you kill  💀💀💀,More votes you will get.Thank you for growing bjp.","{'document_tone': {'tones': []}, 'sentences_tone': [{'sentence_id': 0, 'text': 'Thank you Modiji ,Another head under your crown.', 'tones': [{'score': 0.643038, 'tone_id': 'joy', 'tone_name': 'Joy'}]}, {'sentence_id': 1, 'text': '💀 💀 💀🦴🦴 <br>More you kill  💀💀💀,More votes you will get.Thank you for growing bjp.', 'tones': []}]}"
