Name,Comment,tone
thomas raj,"The three leaders gone to relax. The social worker for poor who sacrificed his life without marriage, luxury or any wages was brutally murdered by NIA and judiciary instead of shrining with President medals.Did Modi closed his ears and eyes or just satisfied to his thirst. Who will be fixed and punished.","{'document_tone': {'tones': [{'score': 0.514616, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.957885, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}, 'sentences_tone': [{'sentence_id': 0, 'text': 'The three leaders gone to relax.', 'tones': [{'score': 0.744238, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.842108, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}, {'sentence_id': 1, 'text': 'The social worker for poor who sacrificed his life without marriage, luxury or any wages was brutally murdered by NIA and judiciary instead of shrining with President medals.Did Modi closed his ears and eyes or just satisfied to his thirst.', 'tones': [{'score': 0.533861, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.813474, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}, {'sentence_id': 2, 'text': 'Who will be fixed and punished.', 'tones': [{'score': 0.616261, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}]}"
Artic Circle,"Thank you India Today channel for bringing the true news for the people of the nation, the injustice done to fr Stan swamy by the authorities responsible.  But Wion channel gives wrong news by saying he was provided with all the facilities. Thank you once again for opening the eyes of the people by giving true news and not getting scared of the powerful who demolished democracy of this country.","{'document_tone': {'tones': [{'score': 0.85399, 'tone_id': 'confident', 'tone_name': 'Confident'}]}, 'sentences_tone': [{'sentence_id': 0, 'text': 'Thank you India Today channel for bringing the true news for the people of the nation, the injustice done to fr Stan swamy by the authorities responsible.', 'tones': []}, {'sentence_id': 1, 'text': 'But Wion channel gives wrong news by saying he was provided with all the facilities.', 'tones': [{'score': 0.59282, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.727798, 'tone_id': 'confident', 'tone_name': 'Confident'}]}, {'sentence_id': 2, 'text': 'Thank you once again for opening the eyes of the people by giving true news and not getting scared of the powerful who demolished democracy of this country.', 'tones': [{'score': 0.67265, 'tone_id': 'joy', 'tone_name': 'Joy'}]}]}"
Rajesh James kottayil kattampack neezhoor,Pray our Martyr Fr James Kottayil SJ Nawatnr Parish Ranchi Dioeces 16 th July 1967. St John the Baptist Church Thuruthipally pala Dioeces Kerala India,"{'document_tone': {'tones': []}, 'sentences_tone': [{'sentence_id': 0, 'text': 'Pray our Martyr Fr James Kottayil SJ Nawatnr Parish Ranchi Dioeces 16 th July 1967.', 'tones': []}, {'sentence_id': 1, 'text': 'St John the Baptist Church Thuruthipally pala Dioeces Kerala India', 'tones': []}]}"
Lokendra Nrasimha,"When Rajdip has said that evidence against him was very sketchy, then Judiciary  should have given Stens bail.","{'document_tone': {'tones': [{'score': 0.643714, 'tone_id': 'confident', 'tone_name': 'Confident'}]}}"
Lokendra Nrasimha,Kya Stens Swami Rajdip Sardesai ke father they? RIP!!!!!!!!!!!,"{'document_tone': {'tones': [{'score': 0.582027, 'tone_id': 'anger', 'tone_name': 'Anger'}]}, 'sentences_tone': [{'sentence_id': 0, 'text': 'Kya Stens Swami Rajdip Sardesai ke father they?', 'tones': []}, {'sentence_id': 1, 'text': 'RIP!!!!!!!!!!!', 'tones': []}]}"
Carlos D'Souza,IF THEY COULD KILL JESUS WHY NOT ANY OTHER INNOCENT MAN??,"{'document_tone': {'tones': [{'score': 0.566941, 'tone_id': 'anger', 'tone_name': 'Anger'}, {'score': 0.653099, 'tone_id': 'analytical', 'tone_name': 'Analytical'}, {'score': 0.957828, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}}"
daphne,Rajdeep Sardesai I&#39;m glad your soul didn&#39;t get sold out this time as it had happened in SSR case earlier.May God enlighten you and give you the courage to speak for truth and justice. GOD BLESS!,"{'document_tone': {'tones': [{'score': 0.80846, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.68408, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}, 'sentences_tone': [{'sentence_id': 0, 'text': 'Rajdeep Sardesai I&#39;m glad your soul didn&#39;t get sold out this time as it had happened in SSR case earlier.May God enlighten you and give you the courage to speak for truth and justice.', 'tones': [{'score': 0.632714, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.516914, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}, {'sentence_id': 1, 'text': 'GOD BLESS!', 'tones': [{'score': 0.926552, 'tone_id': 'joy', 'tone_name': 'Joy'}]}]}"
Shren Dsouza,Shameful!! Even a criminal is not given such treatment..... Even Kasab was given good treatment in prison!!!,"{'document_tone': {'tones': [{'score': 0.985785, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}, 'sentences_tone': [{'sentence_id': 0, 'text': 'Shameful!!', 'tones': [{'score': 0.916667, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}, {'sentence_id': 1, 'text': 'Even a criminal is not given such treatment.....', 'tones': [{'score': 0.88939, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}, {'sentence_id': 2, 'text': 'Even Kasab was given good treatment in prison!!!', 'tones': [{'score': 0.88939, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}]}"
Anthony Dias,All those involved in arresting and imprisoning and denying bail to unjustly accused father Stan Swamy will one day have to face the True Justice of His Lord and Master.,"{'document_tone': {'tones': [{'score': 0.778415, 'tone_id': 'confident', 'tone_name': 'Confident'}]}}"
Carlos D'Souza,JESUITS SHOULD NOT GET INVOLVED. AS JESUS SAID GIVE TO GOD WHAT IS HIS AND TO CEASAR WHAT IS HIS .,"{'document_tone': {'tones': []}, 'sentences_tone': [{'sentence_id': 0, 'text': 'JESUITS SHOULD NOT GET INVOLVED.', 'tones': []}, {'sentence_id': 1, 'text': 'AS JESUS SAID GIVE TO GOD WHAT IS HIS AND TO CEASAR WHAT IS HIS .', 'tones': []}]}"
