,Comment,sentiment
65,"['sad', 'pathetic', 'tale', 'father', 'swamy', 'credit', 'go', 'creator', 'niaprobably', 'create', 'bjp', 'mainly', 'suppress', 'christian', 'father', 'priest', 'represent', 'faith', 'bjp', 'r', 'nia', 'imminent', 'downfall']",-0.3333333333333333
66,"['thank', 'remind', 'u', 'need', 'police', 'judicial', 'reform', 'need', 'adivasi', 'tribal', 'woman', 'priority', 'need', 'scrap', 'black', 'draconian', 'law', 'deny', 'bail', 'give', 'abusive', 'power', 'government', 'need', 'police', 'government', 'official', 'abuse', 'power', 'hold', 'account', 'start', 'nia', 'officer', 'put', 'case', 'poor', 'evidence', 'even', 'frame', 'charge', 'deny', 'bail']",-0.2833333333333333
67,"['dk', 'biswal', 'ndtv', 'totaly', 'give', 'vadkau', 'bhasan']",0.0
68,"['sorry', 'father', 'god', 'mercy', 'u']",-0.5
69,"['jai', 'ho', 'yogi', 'ji', 'mahilaon', 'ko', 'diya', 'tohfa', 'ab', 'adhik', 'bachcha', 'paida', 'karne', 'ki', 'machine', 'band']",0.0
70,"['father', 'swamy', 'ko', 'naman']",0.0
71,"['danga', 'badkane', 'wala', 'tha', 'maharashtra', 'maratha', 'aur', 'mahar', 'ke']",0.0
72,"['bjp', 'criminal', 'fascist', 'government']",-0.4
73,"['chup', 'ravishwa', 'abe', 'wo', 'saal', 'k', 'andar', 'ranchi', 'se', 'lekar', 'raukelajamsed', 'pur', 'tak', 'lagbhag', 'sare', 'adibashio', 'ka', 'dharmantaran', 'karta', 'rahaki', 'ghanta', 'seva', 'kia']",0.0
74,"['ravish', 'prove', 'swine', 'black', 'spot', 'name', 'journalist', 'sell', 'life', 'respect', 'money', 'brandi', 'man', 'shape']",-0.16666666666666666
75,"['ghariyali', 'aansu', 'bahane', 'wale', 'kamine', 'ever', 'tell', 'man', 'culprit', 'anti', 'national', 'act', 'old', 'shaitan', 'involve', 'conversion', 'hindu', 'minority', 'neither', 'father', 'journalist', 'urban', 'naxalscountry', 'know', 'well']",0.05
76,"['yah', 'ek', 'nyayik', 'marder']",0.0
77,"['ye', 'desh', 'raja', 'maharaja', 'ka', 'yaha', 'loktantra', 'kaha', 'sarkar', 'loktantr', 'ke', 'nam', 'pe', 'logo', 'ko', 'gumarah', 'kar', 'rahe', 'desh', 'nyay', 'pana', 'aur', 'god', 'se', 'milna', 'barabar']",0.0
78,"['jitne', 'log', 'inki', 'marne', 'k', 'baad', 'tweet', 'kar', 'rhe', 'hain', 'ye', 'sale', 'dalle', 'mile', 'huye', 'hain', 'sali', 'line', 'likh', 'k', 'kya', 'mje', 'le', 'rhe', 'ho', 'inke', 'pa', 'itni', 'power', 'hone', 'k', 'bad', 'bhi', 'unko', 'nhi', 'support', 'kiya', 'bad', 'politician']",-0.6999999999999998
79,"['mere', 'pyare', 'desh', 'incredible', 'india', 'digital', 'india', 'ka', 'law', 'deserve', 'karta', 'hai']",0.13333333333333333
80,"['hai', 'desh', 'ka', 'law', 'ghatiya', 'sala', 'ek', 'normal', 'si', 'fir', 'krane', 'jao', 'kuch', 'wardi', 'wale', 'gunde', 'ek', 'fir', 'k', 'liye', 'tang', 'karte', 'hain', 'baki', 'ki', 'kya', 'hi', 'umeed', 'ki', 'ja', 'skti', 'hai']",0.15
81,"['mai', 'samjhta', 'hu', 'ki', 'unki', 'kismat', 'itni', 'kharab', 'hai', 'jinka', 'janam', 'desh', 'ho', 'rha', 'ab', 'hoga', 'unlucky']",0.0
82,"['jo', 'inke', 'sath', 'hua', 'hisab', 'se', 'mai', 'desh', 'k', 'law', 'k', 'equal', 'hai', 'kyuki', 'logo', 'ko', 'tang', 'karne', 'k', 'law', 'bane', 'hain']",0.0
83,"['desh', 'itne', 'attack', 'hote', 'hain', 'ye', 'desh', 'kese', 'entry', 'kar', 'jate', 'hain', 'kahi', 'weak', 'point', 'hai', 'na', 'yani', 'ki', 'ye', 'dalle', 'bike', 'huye', 'hain', 'border', 'se', 'leke', 'party', 'tak']",-0.375
84,"['jo', 'log', 'desh', 'ki', 'aur', 'government', 'ki', 'maar', 'k', 'chale', 'jate', 'hain', 'unka', 'ye', 'kuch', 'nhi', 'kar', 'pate', 'lekin', 'uapa', 'ka', 'mi', 'use', 'ho', 'rha', 'hai', 'chinta', 'na', 'karo', 'desh', 'ki', 'aur', 'maari', 'jayegi', 'kyuki', 'border', 'se', 'leke', 'centre', 'tak', 'kai', 'dalal', 'bike', 'huye', 'hain']",0.0
85,"['aatmaaoko', 'shaanti', 'de', 'uparvaale', 'jivit', 'devaadhidev', 'prabhu', 'yeshu', 'masih', 'satgurudev']",0.0
86,"['rip', 'fr', 'stan', 'swamy']",0.0
87,"['mera', 'bharat', 'mahan', 'aaj', 'khna', 'pdega', 'sirf', 'modi', 'hai', 'mahan']",0.0
88,"['good', 'analysis', 'sir']",0.7
89,"['buddha', 'traffic', 'jam', 'dekhna', 'saara', 'doubt', 'clear', 'ho', 'jyega', 'ye', 'vo', 'log', 'hein', 'jo', 'maoist', 'dwara', 'crpf', 'ke', 'jawano', 'ke', 'marne', 'pr', 'khush', 'hote', 'hein']",0.10000000000000002
90,"['anti', 'nationalist', 'superhuman', 'accord', 'mr', 'ravish', 'congressi']",0.0
91,"['amit', 'shah', 'r', 'killer', 'father', 'sten', 'swami']",0.0
92,"['ush', 'ka', 'atma', 'ko', 'santi', 'mile']",0.0
93,"['feel', 'ashamed', 'great', 'nation']",0.8
94,"['ok', 'sar', 'g']",0.5
95,"['frstan', 'sacrifice', 'go', 'vainhe', 'prove', 'innocent', 'one', 'day']",0.5
