,Reply,sentiment
69,"['mishraji', 'aap', 'kitna', 'kam', 'jaan', 'kar', 'kitne', 'confidence', 'se', 'bolte', 'hain', 'yeh', 'kya', 'r', 'mein', 'free', 'mein', 'sikhaya', 'jata', 'hai', 'chaliye', 'badhiya', 'hai', 'bolne', 'ki', 'azadi', 'hai', 'sab', 'ko', 'much', 'democracy', 'aap', 'ke', 'hee', 'param', 'pujya', 'netaon', 'ka', 'kathan', 'hai']",0.30000000000000004
70,"['sulagana', 'biswas', 'prejudice', 'rare', 'trait', 'day', 'time', 'make', 'r', 'member', 'although', 'lot', 'respect', 'r', 'sadly', 'member', 'reiterate', 'nia', 'court', 'say', 'reject', 'bail', 'also', 'part', 'ban']",-0.1
71,"['haan', 'woh', 'paer', 'chaat', 'tey', 'chaat', 'tey', 'swarg', 'lok', 'pohuch', 'jayenge', 'par', 'jo', 'zahar', 'woh', 'ugalte', 'hain', 'woh', 'desh', 'ko', 'nark', 'bana', 'raha', 'hai']",0.0
72,['yes'],0.0
73,['r'],0.0
74,"['know', 'medium', 'trail']",0.0
75,"['pee', 'human', 'beacuse', 'someone', 'glorify', 'rndtv', 'guy', 'must', 'chinese', 'communist', 'virus']",0.0
76,"['arbin', 'mishra', 'great', 'think', 'may', 'god', 'help']",0.8
77,"['arbin', 'mishra', 'feel', 'inflation', 'increase', 'price', 'question']",0.0
78,"['vivek', 'anand', 'exactly', 'pura', 'sahi', 'bola', 'apne']",0.25
79,"['pee', 'human', 'capable', 'enough', 'pay', 'increase', 'price', 'unlike', 'ineptitude', 'earn', 'moreover', 'current', 'inflation', 'rate', 'ideal', 'develop', 'economy', 'previously', 'upa', 'regime', 'go', 'beyond', 'lim']",0.15555555555555559
80,"['arbin', 'mishra', 'lol', 'get', 'wrong', 'fact', 'inflation', 'highest', 'nowbeta', 'sandeep', 'kisi', 'debate', 'dekhte', 'ho', 'ya', 'nahi']",0.15000000000000002
81,"['vivek', 'anand', 'never', 'prove', 'bheema', 'koregaon', 'case']",0.0
82,"['pee', 'human', 'debate', 'tu', 'dekh', 'mei', 'apna', 'dukan', 'chalta', 'hun', 'aur', 'phaltu', 'ke', 'debate', 'nahin', 'dekhta']",0.0
83,"['arbin', 'mishra', 'wahi', 'toh', 'tu', 'business', 'kar', 'debate', 'mat', 'dekh', 'aur', 'comment', 'bhi', 'mat', 'karkyuki', 'bina', 'knowledge', 'ke', 'debate', 'karoge', 'toh', 'block', 'ho', 'jaoge']",0.0
84,"['correct', 'spell', 'fr', 'stan']",0.0
85,"['gf', 'thank', 'correct']",0.0
86,"['happen', 'punjab', 'ever', 'ask', 'right', 'name', 'khalistani', 'tada']",0.2857142857142857
87,"['also', 'fight', 'christian', 'conversion', 'aadivasis']",0.0
88,"['job', 'give', 'jesus', 'darkness', 'jesus', 'christ', 'light', 'world', 'people', 'like', 'teach', 'want', 'live', 'darknessworld', 'satanic', 'knowledge']",0.2681818181818182
89,"['also', 'run', 'changai', 'sabha', 'poda', 'christian', 'come', 'comment', 'favour', 'post', 'know', 'truth', 'christian', 'history', 'conversion', 'ashamed', 'humanity']",0.0
90,"['yes', 'year', 'put', 'jail', 'say', 'suspicion', 'wrong', 'strange', 'play', 'people', 'life']",-0.21666666666666667
91,"['ye', 'bata', 'use', 'jannat', 'milegi', 'ki', 'nahi']",0.0
92,"['tinka', 'singh', 'dear', 'andhbhakt', 'think', 'ask', 'ram', 'answer']",0.0
93,"['yes', 'thats', 'body', 'float', 'river', 'also', 'kumb', 'mela', 'also', 'run', 'activist', 'cause', 'mass', 'covid', 'case']",0.0
94,"['ha', 'ha', 'trust', 'r', 'amp', 'vote', 'bjp']",0.0
95,"['stan', 'urban', 'naxal', 'thadesh', 'ke', 'khilap', 'kaam', 'karta', 'thanaxali', 'thadesh', 'ke', 'khilap', 'kaam', 'karnewale', 'logose', 'kyo', 'humdardi', 'hai', 'tumhe']",0.0
96,"['rupesh', 'g', 'tum', 'jaise', 'desh', 'ko', 'baant', 'kar', 'dimak', 'ki', 'tarah', 'chaat', 'rahe', 'hain', 'tum', 'jaiso', 'ka', 'sarvanash', 'kab', 'hoga']",0.0
97,"['sanjay', 'singha', 'nahi', 'hoga']",0.0
98,"['walk', 'corpse', 'corpse', 'ka', 'sarvanash', 'nahi', 'hoga', 'wo', 'pata', 'hai', 'main', 'dimako', 'ki', 'baat', 'kar', 'raha', 'hoon']",0.16666666666666666
99,"['arup', 'giri', 'trust', 'rat', 'zero', 'star']",0.0
100,['maoist'],0.0
