,Comment,sentiment
119,"['desh', 'drohi', 'naksali', 'mr', 'gaya', 'ek', 'gaddar', 'kam', 'ho', 'gaya', 'ye', 'cristian', 'hai', 'phir', 'ye', 'swami', 'kyu', 'likhta', 'tha', 'apne', 'nam', 'pe', 'iska', 'pura', 'kam', 'hi', 'dogla', 'pani', 'ka', 'tha']",0.0
120,"['binomro', 'sradhanjoli']",0.0
121,"['choose', 'govt', 'govt', 'choose', 'govt', 'blame', 'indian', 'vote', 'bjpp', 'teach', 'lesson', 'muslimssssand', 'injustice', 'society', 'happy', 'indian', 'get', 'taste', 'medicine']",-0.34
122,['thank'],0.3612
123,"['stan', 'swami', 'put', 'dark', 'stain', 'bjp', 'govt']",0.0
124,"['hamri', 'area', 'ke', 'adivashi', 'humaru', 'kahi', 'kahi', 'jagah', 'kabja', 'kiya', 'hain', 'enhi', 'logo', 'ne', 'palghar', 'main', 'sadhu', 'driver', 'ko', 'mara', 'tha', 'sarkar', 'ne', 'jyda', 'skim', 'jyda', 'restion', 'dey', 'rahe', 'pura', 'fyda', 'unko', 'family', 'mr', 'rahi', 'hain']",0.0
125,"['rip', 'father', 'stan', 'stanley']",0.0
126,"['rip', 'father']",0.0
127,"['finally', 'become', 'good', 'communist']",0.4404
128,"['shameless', 'bjp', 'still', 'never', 'step']",-0.34
129,"['modi', 'amp', 'amitshah', 'dont', 'heart', 'dictator']",0.0
130,"['well', 'keep', 'taloja', 'jail', 'maharashtra', 'come', 'state', 'government']",0.2732
131,"['fail', 'matric', 'cheat', 'lalu', 'son', 'blame', 'nitish']",-0.836
132,"['tukde', 'gang', 'celebrate', 'sten', 'ravish', 'celebrate', 'lalu', 'kidnapper', 'criminal']",0.6124
133,"['ram', 'lie', 'congress', 'cf', 'ravish']",0.0
134,"['indira', 'kill', 'jai', 'jai', 'prakash']",-0.6908
135,"['dishonest', 'kashmir', 'leader', 'ravish', 'ideal']",-0.0772
136,"['please', 'check', 'kitto', 'advertisement', 'video', 'check', 'ayushman', 'bharat', 'hospital', 'try']",0.3182
137,"['rubbish', 'try', 'hard', 'sct', 'like', 'magasaysay', 'winner']",0.7096
138,"['court', 'apply']",0.0
139,"['undertrials', 'since', 'anything', 'do']",0.0
140,"['law', 'without', 'law', 'do', 'judge', 'date', 'date']",0.0
141,"['jail', 'trap', 'like', 'pragya']",0.0516
142,"['araam', 'haraam']",0.0
143,"['long', 'put', 'country', 'n', 'people']",0.0
144,['vvip'],0.0
145,"['sad', 'india', 'get', 'freedom', 'evil', 'stand', 'itn', 'indian', 'people', 'get', 'education', 'evil', 'n', 'innocent', 'put', 'jailmany', 'innocent', 'people', 'jailwhat', 'happen', 'god', 'happywe', 'suffer', 'lot', 'innocent', 'one', 'tear']",-0.5994
146,"['truth', 'naton']",0.3182
147,"['year', 'ho', 'gaya', 'ravish', 'kumar', 'tu', 'bharua', 'bhi', 'nahi', 'pachega', 'shame', 'ravish', 'kumar', 'bihar', 'ashamed', 'belong']",-0.7351
148,"['sincere', 'salute', 'great', 'depart', 'soul', 'fr', 'stan', 'swamy', 'ashamed', 'heartless', 'unlawful', 'torture', 'passive', 'support', 'heinous', 'offence', 'police', 'investigative', 'agency', 'nia', 'judiciary']",-0.2732
149,"['evm', 'evm']",0.0
150,"['please', 'tell', 'one', 'know', 'law', 'make', 'innocent', 'people', 'involve', 'false', 'criminal', 'case', 'cause', 'weste', 'precious', 'year', 'behind', 'bar', 'thus', 'ruin', 'family', 'socially', 'economically', 'gruesome', 'impect', 'literally', 'go']",0.0516
151,"['well', 'explain']",0.2732
152,"['total', 'failure', 'pillar', 'indian', 'democracy']",-0.5106
153,"['literally', 'cry', 'stop', 'cry', 'country', 'leave', 'insham', 'u', 'brutal', 'inhuman', 'institutional', 'murder', 'god', 'bless', 'soul']",-0.926
154,"['avrage', 'age', 'indian', 'ravish', 'comon', 'dude']",0.0
155,"['shame', 'justice', 'system', 'police', 'dept', 'become', 'slave', 'hindutva']",0.0772
156,"['may', 'soul', 'fr', 'stan', 'swamy', 'rest', 'peace']",0.5423
157,"['pm', 'kya', 'bol', 'raha', 'hai', 'kush', 'hai']",0.0
158,"['terrorist', 'accuse', 'pragya', 'thakur', 'get', 'bail', 'medical', 'grind', 'see', 'participate', 'political', 'riot', 'fr', 'stan', 'swamy', 'medically', 'diagnose', 'disease', 'cud', 'give', 'bail', 'medical', 'grind', 'wah', 'modi', 'jee', 'wah']",-0.8779
159,"['surely', 'work', 'among', 'poor', 'adivasis', 'go', 'vain']",-0.4588
160,"['justice', 'crucify', 'like', 'poor', 'old', 'man', 'evil', 'take', 'custody', 'never', 'question', 'stop', 'meet', 'people', 'new', 'sanjiv', 'bhatt']",-0.1808
161,"['sal', 'ka', 'jarjar', 'sarir', 'wala', 'desh', 'bhakat']",0.0
