,Reply,Published,sentiment
515,"['satish', 'kumar', 'yeah', 'yeah', 'pumpkin', 'pumpkin', 'hai']",2021-07-06T00:44:39Z,0.5267
457,"['satish', 'kumar', 'ji', 'din', 'desh', 'hindu', 'rastra', 'bun', 'gaya', 'usske', 'baad', 'desh', 'koi', 'problem', 'nahi', 'ho', 'gi', 'aur', 'hamare', 'desh', 'ko', 'vishguru', 'banne', 'jiada', 'time', 'nahi', 'lage', 'ga', 'modi', 'jee', 'mumkin']",2021-07-06T00:57:54Z,-0.4019
445,"['yeah', 'jawano', 'ka', 'saheed', 'hona', 'sirf', 'bjp', 'election', 'ke', 'liye', 'kiya', 'hota', 'hai', 'even', 'bjp', 'hi', 'yeah', 'sab', 'karwati', 'hai', 'jisse', 'logo', 'mei', 'deshbhakti', 'jage', 'nautanki', 'wala', 'modi']",2021-07-06T01:36:53Z,0.5267
1082,"['kasaab', 'young', 'boy', 'play', 'bjp', 'like', 'politician', 'bjp', 'r', 'back', 'connection', 'talibanies', 'use', 'come', 'power']",2021-07-06T01:37:32Z,0.5994
462,"['live', 'like', 'germany']",2021-07-06T01:43:17Z,0.3612
549,"['protest', 'blame', 'others']",2021-07-06T01:45:24Z,-0.5267
306,"['gaya', 'buddha']",2021-07-06T01:57:15Z,0.0
305,"['gaya', 'buddha']",2021-07-06T01:57:22Z,0.0
565,"['pregnant', 'woman', 'tukde', 'tukde', 'gang', 'senior', 'age', 'professor', 'try', 'incite', 'violence', 'people', 'shoot', 'dead']",2021-07-06T01:58:23Z,-0.8957
307,"['worry', 'rabish', 'also', 'send', 'place', 'stan']",2021-07-06T01:58:54Z,-0.4404
308,"['gaya', 'buddha', 'hope', 'u', 'also', 'go', 'sane', 'place']",2021-07-06T01:59:17Z,0.4404
1083,"['md', 'tanveer', 'kuch', 'bhi', 'r', 'well', 'lot', 'state', 'help', 'people', 'time', 'flood', 'hyderabad', 'bjp', 'come', 'power', 'congress', 'scam', 'taliban', 'kasab', 'radical', 'islamic', 'terrorist']",2021-07-06T02:01:40Z,-0.6808
309,"['ghair', 'muslim', 'kabhi', 'jannat', 'nahi', 'jata', 'quran', 'main', 'bol', 'diya', 'gaya', 'hai', 'ki', 'ghair', 'muslim', 'ka', 'maghfirat', 'ka', 'dua', 'nahi', 'mangna', 'ha']",2021-07-06T02:04:08Z,0.34
310,"['apna', 'comment', 'delete', 'kijiye']",2021-07-06T02:05:02Z,0.0
315,"['sirf', 'muslim', 'dalit', 'aur', 'aadivaasi', 'reservation', 'ke', 'maje', 'le', 'rahe', 'hai']",2021-07-06T02:08:00Z,0.0
966,"['mid', 'age', 'crisis', 'u', 'need', 'treatment', 'c', 'pshychatric']",2021-07-06T02:16:18Z,-0.6249
326,"['sad', 'nelson', 'mandela']",2021-07-06T02:17:38Z,-0.4767
998,"['satish', 'kumar', 'dekho', 'gobar']",2021-07-06T02:20:23Z,0.0
335,"['avi', 'gate', 'ab', 'chale', 'bhi', 'gaye', 'ab', 'kya', 'bolna', 'hai']",2021-07-06T02:21:34Z,0.0
446,"['hope', 'bottom', 'heart', 'get', 'book', 'uapa']",2021-07-06T02:27:04Z,0.4404
645,"['sleep', 'supreme', 'highness', 'work', 'x', 'quote', 'pr', 'team', 'idiot', 'wala', 'andhaa', 'chowkidar', 'wali', 'hi', 'baat', 'hai', 'sab', 'changa', 'si']",2021-07-06T02:34:44Z,0.0772
919,"['quot', 'quot']",2021-07-06T02:44:43Z,0.0
316,"['temporary', 'mail', 'muslim']",2021-07-06T02:49:03Z,0.0
566,"['yogshastri', 'broy', 'u', 'guy', 'low', 'iq', 'say', 'guilty', 'must', 'punish', 'everyone', 'say', 'case', 'target', 'even', 'prove', 'support', 'govt', 'nia', 'shoot', 'everyone', 'like', 'u', 'suggest']",2021-07-06T02:51:05Z,-0.6705
475,"['father', 'conversion', 'vetican', 'swami']",2021-07-06T02:51:41Z,0.0
920,"['gamer', 'agar', 'fenku', 'jebkatra', 'agar', 'koi', 'kaam', 'kaa', 'hotta', 'tohh', 'ghar', 'se', 'nahi', 'bhgatee', 'gharwalee', 'es', 'anpar', 'chor', 'choukidar', 'koo']",2021-07-06T02:52:14Z,0.0
646,"['thats', 'build', 'central', 'vista']",2021-07-06T02:54:46Z,0.0
355,"['bjp', 'legalize', 'corruption']",2021-07-06T02:59:31Z,0.0
550,"['satish', 'kumar', 'yes', 'hindu', 'matlab', 'brahmin', 'thakur', 'rich', 'business', 'class']",2021-07-06T03:05:08Z,0.743
278,"['bhai', 'ye', 'kya', 'backwash', 'h']",2021-07-06T03:08:30Z,0.0
418,"['dalit', 'phir', 'bhi', 'bjp', 'ko', 'hi', 'vote', 'karega']",2021-07-06T03:10:04Z,0.0
